"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT000325","hsa","hsa","hsa-miR-133a-3p","RHOA","0","0","0","0","0","0","1","0","1","2"
"MIRT000327","hsa","hsa","hsa-miR-133a-3p","CDC42","1","1","1","0","0","0","1","0","4","2"
"MIRT000328","hsa","hsa","hsa-miR-133a-3p","ERG","0","0","0","0","0","0","1","0","1","1"
"MIRT000329","hsa","hsa","hsa-miR-133a-3p","HCN4","1","0","0","0","0","0","1","0","2","1"
"MIRT000330","hsa","hsa","hsa-miR-133a-3p","UCP2","0","1","0","0","0","0","1","0","2","2"
"MIRT000331","hsa","hsa","hsa-miR-133a-3p","KRT7","0","0","1","0","0","0","1","0","2","2"
"MIRT006571","hsa","hsa","hsa-miR-133a-3p","PNP","1","1","1","1","0","0","0","0","4","2"
"MIRT001203","hsa","hsa","hsa-miR-133a-3p","CACNA1C","1","1","0","0","0","0","1","0","3","1"
"MIRT001204","hsa","hsa","hsa-miR-133a-3p","HCN2","1","1","1","0","0","0","1","0","4","2"
"MIRT001816","hsa","hsa","hsa-miR-133a-3p","PKM","0","0","0","0","0","0","1","0","1","1"
"MIRT001986","hsa","hsa","hsa-miR-133a-3p","CASP9","1","0","1","0","0","0","1","0","3","3"
"MIRT002925","hsa","hsa","hsa-miR-133a-3p","KCNQ1","1","1","1","0","0","0","1","0","4","1"
"MIRT003542","hsa","hsa","hsa-miR-133a-3p","FSCN1","1","1","1","1","0","0","1","0","5","4"
"MIRT004831","hsa","hsa","hsa-miR-133a-3p","KCNH2","1","1","1","0","0","0","1","0","4","1"
"MIRT005604","hsa","hsa","hsa-miR-133a-3p","TAGLN2","1","1","1","1","0","0","1","0","5","4"
"MIRT005813","hsa","hsa","hsa-miR-133a-3p","LASP1","1","1","1","0","0","0","0","0","3","2"
"MIRT006680","hsa","hsa","hsa-miR-133a-3p","MSN","0","1","1","0","0","0","0","0","2","1"
"MIRT007032","hsa","hsa","hsa-miR-133a-3p","EGFR","1","1","1","0","0","0","0","0","3","5"
"MIRT007088","hsa","hsa","hsa-miR-133a-3p","VKORC1","1","0","0","0","0","0","0","0","1","1"
"MIRT007383","hsa","hsa","hsa-miR-133a-3p","PRDM16","1","0","0","0","0","0","0","0","1","2"
"MIRT021693","hsa","hsa","hsa-miR-133a-3p","TPM1","0","0","0","1","0","0","0","0","1","1"
"MIRT021695","hsa","hsa","hsa-miR-133a-3p","FBN1","0","0","0","1","0","0","0","0","1","1"
"MIRT021696","hsa","hsa","hsa-miR-133a-3p","FAM120C","0","0","0","1","0","0","0","0","1","1"
"MIRT021697","hsa","hsa","hsa-miR-133a-3p","BCAN","0","0","0","1","0","0","0","0","1","1"
"MIRT021698","hsa","hsa","hsa-miR-133a-3p","TCTEX1D2","0","0","0","1","0","0","0","0","1","1"
"MIRT021699","hsa","hsa","hsa-miR-133a-3p","ARL6IP1","0","0","0","1","0","0","0","0","1","1"
