"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT001760","hsa","hsa","hsa-miR-30a-3p","CDK6","1","1","1","0","0","0","1","0","4","1"
"MIRT001761","hsa","hsa","hsa-miR-30a-3p","SLC7A6","1","1","1","0","0","0","1","0","4","1"
"MIRT001762","hsa","hsa","hsa-miR-30a-3p","TMEM2","1","1","1","0","0","0","1","0","4","1"
"MIRT001763","hsa","hsa","hsa-miR-30a-3p","THBS1","1","1","1","0","0","0","1","0","4","1"
"MIRT001764","hsa","hsa","hsa-miR-30a-3p","CYR61","1","1","1","0","0","0","1","0","4","1"
"MIRT001765","hsa","hsa","hsa-miR-30a-3p","TUBA1A","0","0","1","0","0","0","1","0","2","1"
"MIRT004779","hsa","mmu","hsa-miR-30a-3p","Fmr1","1","1","1","0","0","0","1","0","4","1"
"MIRT004780","hsa","hsa","hsa-miR-30a-3p","VEZT","1","1","1","0","0","0","1","0","4","1"
"MIRT004939","hsa","hsa","hsa-miR-30a-3p","KRT7","0","0","1","0","0","0","1","0","2","1"
"MIRT028388","hsa","hsa","hsa-miR-30a-3p","WDR82","0","0","1","0","0","0","1","0","2","1"
"MIRT049907","hsa","hsa","hsa-miR-30a-3p","KIAA1671","0","0","0","0","1","0","0","0","1","1"
"MIRT049908","hsa","hsa","hsa-miR-30a-3p","ZNF418","0","0","0","0","1","0","0","0","1","1"
"MIRT049909","hsa","hsa","hsa-miR-30a-3p","LRRC42","0","0","0","0","1","0","0","0","1","1"
"MIRT049910","hsa","hsa","hsa-miR-30a-3p","RSRC1","0","0","0","0","1","0","0","0","1","1"
"MIRT049911","hsa","hsa","hsa-miR-30a-3p","MEF2A","0","0","0","0","1","0","0","0","1","1"
"MIRT049912","hsa","hsa","hsa-miR-30a-3p","SF3B3","0","0","0","0","1","0","0","0","1","1"
"MIRT049913","hsa","hsa","hsa-miR-30a-3p","NUP98","0","0","0","0","1","0","0","0","1","1"
"MIRT049914","hsa","hsa","hsa-miR-30a-3p","RPL27A","0","0","0","0","1","0","0","0","1","1"
"MIRT049915","hsa","hsa","hsa-miR-30a-3p","THOC5","0","0","0","0","1","0","0","0","1","1"
"MIRT049916","hsa","hsa","hsa-miR-30a-3p","TNFRSF10D","0","0","0","0","1","0","0","0","1","1"
"MIRT049917","hsa","hsa","hsa-miR-30a-3p","NAP1L1","0","0","0","0","1","0","0","0","1","1"
"MIRT049918","hsa","hsa","hsa-miR-30a-3p","SGSH","0","0","0","0","1","0","0","0","1","1"
