"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT038517","hsa","hsa","hsa-miR-99b-3p","HIST2H2BF","0","0","0","0","1","0","0","0","1","1"
"MIRT038518","hsa","hsa","hsa-miR-99b-3p","COX1","0","0","0","0","1","0","0","0","1","1"
"MIRT038519","hsa","hsa","hsa-miR-99b-3p","CA2","0","0","0","0","1","0","0","0","1","1"
"MIRT038520","hsa","hsa","hsa-miR-99b-3p","ACTG1","0","0","0","0","1","0","0","0","1","1"
"MIRT038521","hsa","hsa","hsa-miR-99b-3p","SYK","0","0","0","0","1","0","0","0","1","1"
"MIRT038522","hsa","hsa","hsa-miR-99b-3p","USMG5","0","0","0","0","1","0","0","0","1","1"
"MIRT038523","hsa","hsa","hsa-miR-99b-3p","DZIP1","0","0","0","0","1","0","0","0","1","1"
"MIRT038524","hsa","hsa","hsa-miR-99b-3p","RPL27A","0","0","0","0","1","0","0","0","1","1"
"MIRT038525","hsa","hsa","hsa-miR-99b-3p","ALMS1","0","0","0","0","1","0","0","0","1","1"
"MIRT038526","hsa","hsa","hsa-miR-99b-3p","FKBP4","0","0","0","0","1","0","0","0","1","1"
"MIRT038527","hsa","hsa","hsa-miR-99b-3p","KIRREL","0","0","0","0","1","0","0","0","1","1"
"MIRT038528","hsa","hsa","hsa-miR-99b-3p","PPP5C","0","0","0","0","1","0","0","0","1","1"
"MIRT038529","hsa","hsa","hsa-miR-99b-3p","GALNT2","0","0","0","0","1","0","0","0","1","1"
"MIRT038530","hsa","hsa","hsa-miR-99b-3p","EIF3C","0","0","0","0","1","0","0","0","1","1"
"MIRT038531","hsa","hsa","hsa-miR-99b-3p","PFN1","0","0","0","0","1","0","0","0","1","1"
"MIRT038532","hsa","hsa","hsa-miR-99b-3p","EEF2","0","0","0","0","1","0","0","0","1","1"
"MIRT038533","hsa","hsa","hsa-miR-99b-3p","ZNF793","0","0","0","0","1","0","0","0","1","1"
"MIRT038534","hsa","hsa","hsa-miR-99b-3p","BRCA1","0","0","0","0","1","0","0","0","1","1"
"MIRT038535","hsa","hsa","hsa-miR-99b-3p","TMEM97","0","0","0","0","1","0","0","0","1","1"
"MIRT441696","hsa","hsa","hsa-miR-99b-3p","WIPF1","0","0","0","0","1","0","0","1","2","1"
"MIRT495047","hsa","hsa","hsa-miR-99b-3p","AGTPBP1","0","0","0","0","1","0","0","0","1","1"
"MIRT495556","hsa","hsa","hsa-miR-99b-3p","GOLGA6L4","0","0","0","0","1","0","0","0","1","1"
"MIRT495589","hsa","hsa","hsa-miR-99b-3p","GOLGA6L10","0","0","0","0","1","0","0","0","1","1"
"MIRT500108","hsa","hsa","hsa-miR-99b-3p","SLC46A3","0","0","0","0","1","0","0","0","1","1"
"MIRT501286","hsa","hsa","hsa-miR-99b-3p","SCARB2","0","0","0","0","1","0","0","0","1","2"
"MIRT503755","hsa","hsa","hsa-miR-99b-3p","CEP19","0","0","0","0","1","0","0","0","1","3"
"MIRT505516","hsa","hsa","hsa-miR-99b-3p","SRPK1","0","0","0","0","1","0","0","0","1","2"
"MIRT508635","hsa","hsa","hsa-miR-99b-3p","EIF2B1","0","0","0","0","1","0","0","0","1","4"
"MIRT512622","hsa","hsa","hsa-miR-99b-3p","PUM1","0","0","0","0","1","0","0","0","1","3"
"MIRT552860","hsa","hsa","hsa-miR-99b-3p","WIPF2","0","0","0","0","1","0","0","0","1","1"
"MIRT555294","hsa","hsa","hsa-miR-99b-3p","PPP6R1","0","0","0","0","1","0","0","0","1","1"
"MIRT567658","hsa","hsa","hsa-miR-99b-3p","EXOC8","0","0","0","0","1","0","0","0","1","1"
"MIRT572400","hsa","hsa","hsa-miR-99b-3p","CCDC14","0","0","0","0","1","0","0","0","1","1"
"MIRT610529","hsa","hsa","hsa-miR-99b-3p","GSTM5","0","0","0","0","1","0","0","0","1","1"
"MIRT611061","hsa","hsa","hsa-miR-99b-3p","ZNF621","0","0","0","0","1","0","0","0","1","1"
"MIRT613467","hsa","hsa","hsa-miR-99b-3p","GRAMD1B","0","0","0","0","1","0","0","0","1","2"
