"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT649266","hsa","hsa","hsa-miR-133b","C17orf64","0","0","0","0","1","0","0","0","1","1"
"MIRT651237","hsa","hsa","hsa-miR-133b","ZMAT4","0","0","0","0","1","0","0","0","1","1"
"MIRT652145","hsa","hsa","hsa-miR-133b","TRIM71","0","0","0","0","1","0","0","0","1","1"
"MIRT668310","hsa","hsa","hsa-miR-133b","FOSL2","0","0","0","0","1","0","0","0","1","1"
"MIRT699724","hsa","hsa","hsa-miR-133b","SERPINH1","0","0","0","0","1","0","0","0","1","1"
"MIRT709495","hsa","hsa","hsa-miR-133b","ANGPT4","0","0","0","0","1","0","0","0","1","1"
"MIRT721676","hsa","hsa","hsa-miR-133b","CMTM4","0","0","0","0","1","0","0","0","1","1"
"MIRT731620","hsa","hsa","hsa-miR-133b","FAS","1","0","0","0","0","0","0","0","1","1"
"MIRT731643","hsa","hsa","hsa-miR-133b","SIRT1","1","0","0","0","0","0","0","0","1","2"
"MIRT731772","hsa","hsa","hsa-miR-133b","BCL2L1","1","1","1","0","1","0","0","0","4","1"
"MIRT1315078","hsa","hsa","hsa-miR-133b","ACPL2","0","0","0","0","0","0","0","1","1","0"
"MIRT1315793","hsa","hsa","hsa-miR-133b","ADCY6","0","0","0","0","0","0","0","1","1","0"
"MIRT1318119","hsa","hsa","hsa-miR-133b","ANKRD52","0","0","0","0","0","0","0","1","1","0"
"MIRT1324972","hsa","hsa","hsa-miR-133b","C10orf46","0","0","0","0","0","0","0","1","1","0"
"MIRT1325578","hsa","hsa","hsa-miR-133b","C19orf55","0","0","0","0","0","0","0","1","1","0"
"MIRT1325912","hsa","hsa","hsa-miR-133b","C1orf63","0","0","0","0","0","0","0","1","1","0"
"MIRT1327697","hsa","hsa","hsa-miR-133b","CBX6","0","0","0","0","0","0","0","1","1","0"
"MIRT1331104","hsa","hsa","hsa-miR-133b","CKAP4","0","0","0","0","0","0","0","1","1","0"
"MIRT1331708","hsa","hsa","hsa-miR-133b","CNN2","0","0","0","0","0","0","0","1","1","0"
"MIRT1331772","hsa","hsa","hsa-miR-133b","CNP","0","0","0","0","0","0","0","1","1","0"
"MIRT1331846","hsa","hsa","hsa-miR-133b","CNST","0","0","0","0","0","0","0","1","1","0"
"MIRT1334388","hsa","hsa","hsa-miR-133b","CTDSP2","0","0","0","0","0","0","0","1","1","0"
"MIRT1335272","hsa","hsa","hsa-miR-133b","CXCL12","0","0","0","0","0","0","0","1","1","0"
"MIRT1336858","hsa","hsa","hsa-miR-133b","DDIT4","0","0","0","0","0","0","0","1","1","0"
"MIRT1337035","hsa","hsa","hsa-miR-133b","DDX3X","0","0","0","0","0","0","0","1","1","0"
"MIRT1338005","hsa","hsa","hsa-miR-133b","DNAJB1","0","0","0","0","0","0","0","1","1","0"
"MIRT1339522","hsa","hsa","hsa-miR-133b","EEF1A1","0","0","0","0","0","0","0","1","1","0"
"MIRT1341702","hsa","hsa","hsa-miR-133b","ETF1","0","0","0","0","0","0","0","1","1","0"
"MIRT1342359","hsa","hsa","hsa-miR-133b","FAM193B","0","0","0","0","0","0","0","1","1","0"
"MIRT1343006","hsa","hsa","hsa-miR-133b","FBN1","0","0","0","0","0","0","0","1","1","0"
"MIRT1343596","hsa","hsa","hsa-miR-133b","FGFR1","0","0","0","0","0","0","0","1","1","0"
"MIRT1346418","hsa","hsa","hsa-miR-133b","GGA2","0","0","0","0","0","0","0","1","1","0"
"MIRT1348522","hsa","hsa","hsa-miR-133b","GXYLT1","0","0","0","0","0","0","0","1","1","0"
"MIRT1350344","hsa","hsa","hsa-miR-133b","HYOU1","0","0","0","0","0","0","0","1","1","0"
"MIRT1351272","hsa","hsa","hsa-miR-133b","IGF2BP2","0","0","0","0","0","0","0","1","1","0"
"MIRT1353520","hsa","hsa","hsa-miR-133b","IQGAP1","0","0","0","0","0","0","0","1","1","0"
"MIRT1353628","hsa","hsa","hsa-miR-133b","IRF2","0","0","0","0","0","0","0","1","1","0"
"MIRT1354977","hsa","hsa","hsa-miR-133b","KCTD7","0","0","0","0","0","0","0","1","1","0"
"MIRT1355274","hsa","hsa","hsa-miR-133b","KHNYN","0","0","0","0","0","0","0","1","1","0"
"MIRT1357241","hsa","hsa","hsa-miR-133b","KREMEN1","0","0","0","0","0","0","0","1","1","0"
"MIRT1357851","hsa","hsa","hsa-miR-133b","LASP1","0","0","0","0","0","0","0","1","1","0"
"MIRT1358351","hsa","hsa","hsa-miR-133b","LHFPL2","0","0","0","0","0","0","0","1","1","0"
"MIRT1359139","hsa","hsa","hsa-miR-133b","LPHN1","0","0","0","0","0","0","0","1","1","0"
"MIRT1359657","hsa","hsa","hsa-miR-133b","LUZP1","0","0","0","0","0","0","0","1","1","0"
"MIRT1359773","hsa","hsa","hsa-miR-133b","LY6E","0","0","0","0","0","0","0","1","1","0"
"MIRT1359924","hsa","hsa","hsa-miR-133b","LZTS2","0","0","0","0","0","0","0","1","1","0"
"MIRT1360621","hsa","hsa","hsa-miR-133b","MAP2K4","0","0","0","0","0","0","0","1","1","0"
"MIRT1364193","hsa","hsa","hsa-miR-133b","MMP14","0","0","0","0","0","0","0","1","1","0"
"MIRT1365133","hsa","hsa","hsa-miR-133b","MSN","0","0","0","0","0","0","0","1","1","0"
"MIRT1365958","hsa","hsa","hsa-miR-133b","MYO9B","0","0","0","0","0","0","0","1","1","0"
"MIRT1367124","hsa","hsa","hsa-miR-133b","NCOR2","0","0","0","0","0","0","0","1","1","0"
"MIRT1381066","hsa","hsa","hsa-miR-133b","RBMS1","0","0","0","0","0","0","0","1","1","0"
"MIRT1386075","hsa","hsa","hsa-miR-133b","SERPINH1","0","0","0","0","0","0","0","1","1","0"
"MIRT1387160","hsa","hsa","hsa-miR-133b","SGK1","0","0","0","0","0","0","0","1","1","0"
