"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT000280","hsa","hsa","hsa-miR-15a-5p","BMI1","1","1","1","1","0","0","1","0","5","3"
"MIRT000282","hsa","hsa","hsa-miR-15a-5p","WNT3A","1","0","1","0","0","0","1","0","3","2"
"MIRT000283","hsa","hsa","hsa-miR-15a-5p","MYB","1","1","1","1","0","0","1","0","5","3"
"MIRT000284","hsa","hsa","hsa-miR-15a-5p","CDC25A","1","0","0","0","1","0","1","0","3","3"
"MIRT000285","hsa","hsa","hsa-miR-15a-5p","CCND2","1","0","0","0","1","0","1","0","3","5"
"MIRT006378","mmu","mmu","mmu-miR-15a-5p","Ccnt2","1","0","0","0","1","0","0","0","2","2"
"MIRT000804","hsa","hsa","hsa-miR-15a-5p","RAB9B","0","0","0","0","0","0","1","0","1","1"
"MIRT000806","hsa","hsa","hsa-miR-15a-5p","ACTR1A","0","0","0","0","0","0","1","0","1","1"
"MIRT000808","hsa","hsa","hsa-miR-15a-5p","TPI1","0","0","0","0","0","0","1","0","1","1"
"MIRT000810","hsa","hsa","hsa-miR-15a-5p","PDCD4","0","0","1","0","1","0","1","0","3","2"
"MIRT000812","hsa","hsa","hsa-miR-15a-5p","RAB21","0","0","1","0","0","0","1","0","2","1"
"MIRT000815","hsa","hsa","hsa-miR-15a-5p","BCL2","1","1","1","1","1","0","1","0","6","13"
"MIRT000817","hsa","hsa","hsa-miR-15a-5p","WT1","0","0","1","0","0","0","1","0","2","1"
"MIRT000819","hsa","hsa","hsa-miR-15a-5p","ASXL2","0","0","0","1","0","0","1","0","2","1"
"MIRT000823","hsa","hsa","hsa-miR-15a-5p","TMEM251","0","0","0","1","0","0","1","0","2","1"
"MIRT000825","hsa","hsa","hsa-miR-15a-5p","CARD8","0","0","0","1","0","0","1","0","2","1"
"MIRT000827","hsa","hsa","hsa-miR-15a-5p","CDC14B","0","0","0","1","0","0","1","0","2","1"
"MIRT000829","hsa","hsa","hsa-miR-15a-5p","CENPJ","0","0","0","1","0","0","1","0","2","1"
"MIRT000831","hsa","hsa","hsa-miR-15a-5p","CEP63","0","0","0","1","0","0","1","0","2","1"
"MIRT000833","hsa","hsa","hsa-miR-15a-5p","CREBL2","0","0","0","1","1","0","1","0","3","3"
"MIRT000835","hsa","hsa","hsa-miR-15a-5p","ECHDC1","0","0","0","1","0","0","1","0","2","1"
"MIRT000847","hsa","hsa","hsa-miR-15a-5p","GOLGA5","0","0","0","1","0","0","1","0","2","1"
"MIRT000849","hsa","hsa","hsa-miR-15a-5p","GOLPH3L","0","0","0","1","0","0","1","0","2","1"
"MIRT000851","hsa","hsa","hsa-miR-15a-5p","GTF2H1","0","0","0","1","0","0","1","0","2","1"
"MIRT000853","hsa","hsa","hsa-miR-15a-5p","H3F3B","0","0","0","1","0","0","1","0","2","1"
"MIRT000855","hsa","hsa","hsa-miR-15a-5p","HACE1","0","0","0","1","0","0","1","0","2","1"
"MIRT000857","hsa","hsa","hsa-miR-15a-5p","HDHD2","0","0","0","1","0","0","1","0","2","1"
"MIRT000859","hsa","hsa","hsa-miR-15a-5p","HERC6","0","0","0","1","0","0","1","0","2","1"
"MIRT000863","hsa","hsa","hsa-miR-15a-5p","HRSP12","0","0","0","1","0","0","1","0","2","1"
"MIRT000865","hsa","hsa","hsa-miR-15a-5p","HSDL2","0","0","0","1","0","0","1","0","2","1"
"MIRT000866","hsa","hsa","hsa-miR-15a-5p","HSPA1A","0","0","0","1","0","0","1","0","2","1"
"MIRT000868","hsa","hsa","hsa-miR-15a-5p","JUN","0","0","0","1","0","0","1","0","2","1"
"MIRT000878","hsa","hsa","hsa-miR-15a-5p","MCL1","0","0","0","1","0","0","1","0","2","1"
"MIRT000880","hsa","hsa","hsa-miR-15a-5p","MSH2","0","0","0","1","0","0","1","0","2","1"
"MIRT000884","hsa","hsa","hsa-miR-15a-5p","OMA1","0","0","0","1","0","0","1","0","2","1"
"MIRT000886","hsa","hsa","hsa-miR-15a-5p","OSGEPL1","0","0","0","1","0","0","1","0","2","1"
"MIRT000888","hsa","hsa","hsa-miR-15a-5p","PDCD6IP","0","0","0","1","0","0","1","0","2","1"
"MIRT000890","hsa","hsa","hsa-miR-15a-5p","PHKB","0","0","0","1","0","0","1","0","2","1"
"MIRT000892","hsa","hsa","hsa-miR-15a-5p","PMS1","0","0","0","1","0","0","1","0","2","1"
"MIRT000894","hsa","hsa","hsa-miR-15a-5p","PNN","0","0","0","1","0","0","1","0","2","1"
"MIRT000896","hsa","hsa","hsa-miR-15a-5p","PRIM1","0","0","0","1","0","0","1","0","2","1"
