"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT050483","hsa","hsa","hsa-miR-20a-5p","TCEA1","0","0","0","0","1","0","0","0","1","1"
"MIRT050484","hsa","hsa","hsa-miR-20a-5p","PLEKHM3","0","0","0","0","1","0","0","0","1","1"
"MIRT050485","hsa","hsa","hsa-miR-20a-5p","RPS10","0","0","0","0","1","0","0","0","1","1"
"MIRT050486","hsa","hsa","hsa-miR-20a-5p","ALDH18A1","0","0","0","0","1","0","0","0","1","1"
"MIRT050487","hsa","hsa","hsa-miR-20a-5p","UEVLD","0","0","0","0","1","0","0","0","1","1"
"MIRT050488","hsa","hsa","hsa-miR-20a-5p","FGF7","0","0","0","0","1","0","0","0","1","1"
"MIRT050489","hsa","hsa","hsa-miR-20a-5p","SSRP1","0","0","0","0","1","0","0","0","1","1"
"MIRT050490","hsa","hsa","hsa-miR-20a-5p","COX5A","0","0","0","0","1","0","0","0","1","1"
"MIRT050491","hsa","hsa","hsa-miR-20a-5p","AGO1","0","0","0","0","1","0","0","0","1","2"
"MIRT050492","hsa","hsa","hsa-miR-20a-5p","KIAA0100","0","0","0","0","1","0","0","0","1","1"
"MIRT050493","hsa","hsa","hsa-miR-20a-5p","FHL3","0","0","0","0","1","0","0","0","1","1"
"MIRT050494","hsa","hsa","hsa-miR-20a-5p","GDI2","0","0","0","0","1","0","0","0","1","1"
"MIRT050495","hsa","hsa","hsa-miR-20a-5p","INTS3","0","0","0","0","1","0","0","0","1","1"
"MIRT050496","hsa","hsa","hsa-miR-20a-5p","HMG20A","0","0","0","0","1","0","0","0","1","1"
"MIRT050497","hsa","hsa","hsa-miR-20a-5p","APOA1BP","0","0","0","0","1","0","0","0","1","1"
"MIRT050498","hsa","hsa","hsa-miR-20a-5p","PRKD3","0","0","0","0","1","0","0","0","1","1"
"MIRT050499","hsa","hsa","hsa-miR-20a-5p","AP3S2","0","0","0","0","1","0","0","0","1","1"
"MIRT050500","hsa","hsa","hsa-miR-20a-5p","PCNXL4","0","0","0","0","1","0","0","0","1","1"
"MIRT050501","hsa","hsa","hsa-miR-20a-5p","IKZF5","0","0","0","0","1","0","0","0","1","1"
"MIRT050502","hsa","hsa","hsa-miR-20a-5p","TMEM97","0","0","0","0","1","0","0","0","1","1"
"MIRT050503","hsa","hsa","hsa-miR-20a-5p","ATP6","0","0","0","0","1","0","0","0","1","1"
"MIRT050504","hsa","hsa","hsa-miR-20a-5p","RPA2","0","0","0","0","1","0","0","0","1","2"
"MIRT050505","hsa","hsa","hsa-miR-20a-5p","PHYH","0","0","0","0","1","0","0","0","1","1"
"MIRT050506","hsa","hsa","hsa-miR-20a-5p","KIF2C","0","0","0","0","1","0","0","0","1","1"
"MIRT050507","hsa","hsa","hsa-miR-20a-5p","DDX5","0","0","0","0","1","0","0","0","1","2"
"MIRT050508","hsa","hsa","hsa-miR-20a-5p","DTX2","0","0","0","0","1","0","0","0","1","1"
"MIRT050509","hsa","hsa","hsa-miR-20a-5p","MPHOSPH8","0","0","0","0","1","0","0","0","1","1"
"MIRT050510","hsa","hsa","hsa-miR-20a-5p","HAUS2","0","0","0","0","1","0","0","0","1","1"
"MIRT050511","hsa","hsa","hsa-miR-20a-5p","ZNF331","0","0","0","0","1","0","0","0","1","1"
"MIRT050512","hsa","hsa","hsa-miR-20a-5p","PPP6R3","0","0","0","0","1","0","0","0","1","2"
"MIRT050513","hsa","hsa","hsa-miR-20a-5p","METTL22","0","0","0","0","1","0","0","0","1","1"
"MIRT050514","hsa","hsa","hsa-miR-20a-5p","PPAN","0","0","0","0","1","0","0","0","1","1"
"MIRT050515","hsa","hsa","hsa-miR-20a-5p","FBL","0","0","0","0","1","0","0","0","1","1"
"MIRT050516","hsa","hsa","hsa-miR-20a-5p","RPL31","0","0","0","0","1","0","0","0","1","1"
"MIRT050517","hsa","hsa","hsa-miR-20a-5p","SEPT2","0","0","0","0","1","0","0","0","1","4"
"MIRT050518","hsa","hsa","hsa-miR-20a-5p","TOMM20","0","0","0","0","1","0","0","0","1","1"
"MIRT050519","hsa","hsa","hsa-miR-20a-5p","NCOR2","0","0","0","0","1","0","0","0","1","1"
"MIRT050520","hsa","hsa","hsa-miR-20a-5p","PSD3","0","0","0","0","1","0","0","0","1","1"
"MIRT050521","hsa","hsa","hsa-miR-20a-5p","AP3D1","0","0","0","0","1","0","0","0","1","1"
"MIRT050522","hsa","hsa","hsa-miR-20a-5p","TBC1D15","0","0","0","0","1","0","0","0","1","1"
"MIRT050523","hsa","hsa","hsa-miR-20a-5p","DPY19L4","0","0","0","0","1","0","0","0","1","1"
"MIRT050524","hsa","hsa","hsa-miR-20a-5p","PTPN23","0","0","0","0","1","0","0","0","1","1"
"MIRT050525","hsa","hsa","hsa-miR-20a-5p","C11orf68","0","0","0","0","1","0","0","0","1","1"
"MIRT050526","hsa","hsa","hsa-miR-20a-5p","CTR9","0","0","0","0","1","0","0","0","1","1"
"MIRT050527","hsa","hsa","hsa-miR-20a-5p","PAIP1","0","0","0","0","1","0","0","0","1","1"
"MIRT050528","hsa","hsa","hsa-miR-20a-5p","L2HGDH","0","0","0","0","1","0","0","0","1","1"
"MIRT050529","hsa","hsa","hsa-miR-20a-5p","CDT1","0","0","0","0","1","0","0","0","1","1"
"MIRT050530","hsa","hsa","hsa-miR-20a-5p","RPL30","0","0","0","0","1","0","0","0","1","1"
"MIRT050531","hsa","hsa","hsa-miR-20a-5p","MRS2","0","0","0","0","1","0","0","0","1","1"
"MIRT050532","hsa","hsa","hsa-miR-20a-5p","TMX4","0","0","0","0","1","0","0","0","1","1"
"MIRT050533","hsa","hsa","hsa-miR-20a-5p","LAMTOR1","0","0","0","0","1","0","0","0","1","4"
"MIRT050534","hsa","hsa","hsa-miR-20a-5p","LPHN3","0","0","0","0","1","0","0","0","1","1"
"MIRT050535","hsa","hsa","hsa-miR-20a-5p","RBM10","0","0","0","0","1","0","0","0","1","1"
"MIRT050536","hsa","hsa","hsa-miR-20a-5p","EMR2","0","0","0","0","1","0","0","0","1","1"
"MIRT050537","hsa","hsa","hsa-miR-20a-5p","FBXO3","0","0","0","0","1","0","0","0","1","1"
"MIRT050538","hsa","hsa","hsa-miR-20a-5p","MLXIP","0","0","0","0","1","0","0","0","1","2"
"MIRT050539","hsa","hsa","hsa-miR-20a-5p","RNGTT","0","0","0","0","1","0","0","0","1","1"
"MIRT050540","hsa","hsa","hsa-miR-20a-5p","MAD1L1","0","0","0","0","1","0","0","0","1","1"
"MIRT050541","hsa","hsa","hsa-miR-20a-5p","DLC1","0","0","0","0","1","0","0","0","1","1"
"MIRT050542","hsa","hsa","hsa-miR-20a-5p","NUP214","0","0","0","0","1","0","0","0","1","1"
"MIRT050543","hsa","hsa","hsa-miR-20a-5p","PAQR5","0","0","0","0","1","0","0","0","1","1"
"MIRT050544","hsa","hsa","hsa-miR-20a-5p","BTBD2","0","0","0","0","1","0","0","0","1","1"
"MIRT050545","hsa","hsa","hsa-miR-20a-5p","XYLT2","0","0","0","0","1","0","0","0","1","1"
"MIRT050546","hsa","hsa","hsa-miR-20a-5p","ZNF398","0","0","0","0","1","0","0","0","1","1"
"MIRT050547","hsa","hsa","hsa-miR-20a-5p","CEP120","0","0","0","0","1","0","0","0","1","1"
"MIRT050548","hsa","hsa","hsa-miR-20a-5p","IL17RC","0","0","0","0","1","0","0","0","1","1"
"MIRT050549","hsa","hsa","hsa-miR-20a-5p","UBE2C","1","1","1","0","1","0","0","0","4","2"
"MIRT050550","hsa","hsa","hsa-miR-20a-5p","PGK1","0","0","0","0","1","0","0","0","1","1"
"MIRT050551","hsa","hsa","hsa-miR-20a-5p","ORMDL3","0","0","0","0","1","0","0","0","1","2"
"MIRT050552","hsa","hsa","hsa-miR-20a-5p","TUBB","0","0","0","0","1","0","0","0","1","1"
"MIRT050553","hsa","hsa","hsa-miR-20a-5p","TDRD3","0","0","0","0","1","0","0","0","1","1"
"MIRT050554","hsa","hsa","hsa-miR-20a-5p","DLG5","0","0","0","0","1","0","0","0","1","1"
"MIRT050555","hsa","hsa","hsa-miR-20a-5p","VEZF1","0","0","0","0","1","0","0","0","1","1"
"MIRT050556","hsa","hsa","hsa-miR-20a-5p","CCDC88C","0","0","0","0","1","0","0","0","1","1"
"MIRT050557","hsa","hsa","hsa-miR-20a-5p","USP10","0","0","0","0","1","0","0","0","1","1"
"MIRT050558","hsa","hsa","hsa-miR-20a-5p","KIAA1191","0","0","0","0","1","0","0","0","1","4"
"MIRT050559","hsa","hsa","hsa-miR-20a-5p","STAT3","1","1","1","1","1","0","0","0","5","4"
"MIRT050560","hsa","hsa","hsa-miR-20a-5p","GATA6","0","0","0","0","1","0","0","0","1","5"
"MIRT050561","hsa","hsa","hsa-miR-20a-5p","RPL18A","0","0","0","0","1","0","0","0","1","1"
"MIRT050562","hsa","hsa","hsa-miR-20a-5p","TMEM66","0","0","0","0","1","0","0","0","1","1"
"MIRT050563","hsa","hsa","hsa-miR-20a-5p","ARL9","0","0","0","0","1","0","0","0","1","1"
"MIRT050564","hsa","hsa","hsa-miR-20a-5p","CTSA","0","0","0","0","1","0","0","0","1","1"
"MIRT050565","hsa","hsa","hsa-miR-20a-5p","ABCA3","0","0","0","0","1","0","0","0","1","1"
"MIRT050566","hsa","hsa","hsa-miR-20a-5p","MRPL13","0","0","0","0","1","0","0","0","1","1"
"MIRT050567","hsa","hsa","hsa-miR-20a-5p","MAN1C1","0","0","0","0","1","0","0","0","1","1"
"MIRT050568","hsa","hsa","hsa-miR-20a-5p","AGO4","0","0","0","0","1","0","0","0","1","1"
"MIRT050569","hsa","hsa","hsa-miR-20a-5p","BACH1","0","0","0","0","1","0","0","0","1","1"
"MIRT050570","hsa","hsa","hsa-miR-20a-5p","RFC3","0","0","0","0","1","0","0","0","1","1"
"MIRT050571","hsa","hsa","hsa-miR-20a-5p","ARHGEF7","0","0","0","0","1","0","0","0","1","2"
"MIRT050572","hsa","hsa","hsa-miR-20a-5p","GPN2","0","0","0","0","1","0","0","0","1","1"
"MIRT050573","hsa","hsa","hsa-miR-20a-5p","LDHB","0","0","0","0","1","0","0","0","1","1"
"MIRT050574","hsa","hsa","hsa-miR-20a-5p","PTPRS","0","0","0","0","1","0","0","0","1","1"
"MIRT050575","hsa","hsa","hsa-miR-20a-5p","PPP2R1A","0","0","0","0","1","0","0","0","1","1"
"MIRT050576","hsa","hsa","hsa-miR-20a-5p","CDK16","0","0","0","0","1","0","0","0","1","1"
"MIRT050577","hsa","hsa","hsa-miR-20a-5p","WBP4","0","0","0","0","1","0","0","0","1","1"
"MIRT050578","hsa","hsa","hsa-miR-20a-5p","CCNB1","0","0","0","0","1","0","0","0","1","1"
"MIRT050579","hsa","hsa","hsa-miR-20a-5p","POGZ","0","0","0","0","1","0","0","0","1","1"
"MIRT050580","hsa","hsa","hsa-miR-20a-5p","KLHL15","0","0","0","0","1","0","0","0","1","2"
"MIRT050581","hsa","hsa","hsa-miR-20a-5p","RTFDC1","0","0","0","0","1","0","0","0","1","1"
"MIRT050582","hsa","hsa","hsa-miR-20a-5p","FLNA","0","0","0","0","1","0","0","0","1","1"
"MIRT050583","hsa","hsa","hsa-miR-20a-5p","PLXNA1","0","0","0","0","1","0","0","0","1","2"
"MIRT050584","hsa","hsa","hsa-miR-20a-5p","ADSS","0","0","0","0","1","0","0","0","1","1"
"MIRT050585","hsa","hsa","hsa-miR-20a-5p","MANEAL","0","0","0","0","1","0","0","0","1","2"
"MIRT050586","hsa","hsa","hsa-miR-20a-5p","NUP188","0","0","0","0","1","0","0","0","1","1"
"MIRT050587","hsa","hsa","hsa-miR-20a-5p","ECI1","0","0","0","0","1","0","0","0","1","1"
"MIRT050588","hsa","hsa","hsa-miR-20a-5p","NCOA3","0","0","0","0","1","0","0","0","1","2"
"MIRT050589","hsa","hsa","hsa-miR-20a-5p","MORF4L2","0","0","0","0","1","0","0","0","1","1"
"MIRT050590","hsa","hsa","hsa-miR-20a-5p","ATL3","0","0","0","0","1","0","0","0","1","3"
"MIRT050591","hsa","hsa","hsa-miR-20a-5p","FOXJ3","0","0","0","0","1","0","0","0","1","3"
"MIRT050592","hsa","hsa","hsa-miR-20a-5p","PRRC2C","0","0","0","0","1","0","0","0","1","1"
"MIRT050593","hsa","hsa","hsa-miR-20a-5p","RPL21","0","0","0","0","1","0","0","0","1","1"
"MIRT050594","hsa","hsa","hsa-miR-20a-5p","SELENBP1","0","0","0","0","1","0","0","0","1","1"
"MIRT050595","hsa","hsa","hsa-miR-20a-5p","YBX1","0","0","0","0","1","0","0","0","1","1"
"MIRT050596","hsa","hsa","hsa-miR-20a-5p","B4GALT2","0","0","0","0","1","0","0","0","1","1"
"MIRT050597","hsa","hsa","hsa-miR-20a-5p","PYGB","0","0","0","0","1","0","0","0","1","1"
"MIRT050598","hsa","hsa","hsa-miR-20a-5p","AKR7A2","0","0","0","0","1","0","0","0","1","2"
"MIRT050599","hsa","hsa","hsa-miR-20a-5p","C9orf78","0","0","0","0","1","0","0","0","1","1"
"MIRT050600","hsa","hsa","hsa-miR-20a-5p","STIL","0","0","0","0","1","0","0","0","1","1"
"MIRT050601","hsa","hsa","hsa-miR-20a-5p","CDK19","0","0","0","0","1","0","0","0","1","1"
"MIRT050602","hsa","hsa","hsa-miR-20a-5p","KDM4D","0","0","0","0","1","0","0","0","1","1"
"MIRT050603","hsa","hsa","hsa-miR-20a-5p","UQCRC1","0","0","0","0","1","0","0","0","1","1"
"MIRT050604","hsa","hsa","hsa-miR-20a-5p","RUFY2","0","0","0","0","1","0","0","0","1","2"
"MIRT050605","hsa","hsa","hsa-miR-20a-5p","RPS27","0","0","0","0","1","0","0","0","1","1"
"MIRT050606","hsa","hsa","hsa-miR-20a-5p","BTN3A1","0","0","0","0","1","0","0","0","1","2"
"MIRT050607","hsa","hsa","hsa-miR-20a-5p","PBXIP1","0","0","0","0","1","0","0","0","1","1"
"MIRT050608","hsa","hsa","hsa-miR-20a-5p","ARFGEF2","0","0","0","0","1","0","0","0","1","1"
"MIRT050609","hsa","hsa","hsa-miR-20a-5p","NUDT21","0","0","0","0","1","0","0","0","1","1"
"MIRT050610","hsa","hsa","hsa-miR-20a-5p","NETO2","0","0","0","0","1","0","0","0","1","3"
"MIRT050611","hsa","hsa","hsa-miR-20a-5p","SLC25A28","0","0","0","0","1","0","0","0","1","1"
"MIRT050612","hsa","hsa","hsa-miR-20a-5p","NAP1L1","0","0","0","0","1","0","0","0","1","1"
"MIRT050613","hsa","hsa","hsa-miR-20a-5p","PHC1","0","0","0","0","1","0","0","0","1","1"
"MIRT050614","hsa","hsa","hsa-miR-20a-5p","ZNF706","0","0","0","0","1","0","0","0","1","1"
"MIRT050615","hsa","hsa","hsa-miR-20a-5p","CCDC47","0","0","0","0","1","0","0","0","1","1"
"MIRT050616","hsa","hsa","hsa-miR-20a-5p","ARPC2","0","0","0","0","1","0","0","0","1","1"
"MIRT050617","hsa","hsa","hsa-miR-20a-5p","EIF4G2","0","0","0","0","1","0","0","0","1","2"
"MIRT050618","hsa","hsa","hsa-miR-20a-5p","MAGOHB","0","0","0","0","1","0","0","0","1","1"
"MIRT050619","hsa","hsa","hsa-miR-20a-5p","ZNF598","0","0","0","0","1","0","0","0","1","1"
"MIRT050620","hsa","hsa","hsa-miR-20a-5p","LEPREL4","0","0","0","0","1","0","0","0","1","1"
"MIRT050621","hsa","hsa","hsa-miR-20a-5p","CERS2","0","0","0","0","1","0","0","0","1","1"
"MIRT050622","hsa","hsa","hsa-miR-20a-5p","LYPD6","0","0","0","0","1","0","0","0","1","1"
"MIRT050623","hsa","hsa","hsa-miR-20a-5p","HEXIM1","0","0","0","0","1","0","0","0","1","1"
"MIRT050624","hsa","hsa","hsa-miR-20a-5p","WAC","0","0","0","0","1","0","0","0","1","4"
"MIRT050625","hsa","hsa","hsa-miR-20a-5p","ZNFX1","0","0","0","0","1","0","0","0","1","4"
"MIRT050626","hsa","hsa","hsa-miR-20a-5p","RBM12B","0","0","0","0","1","0","0","0","1","3"
"MIRT052914","hsa","hsa","hsa-miR-20a-5p","LIMK1","1","1","1","1","0","0","0","0","4","1"
"MIRT052971","hsa","hsa","hsa-miR-20a-5p","PHLPP2","1","0","0","0","1","0","0","0","2","2"
"MIRT053007","hsa","hsa","hsa-miR-20a-5p","GJA1","1","1","1","0","0","0","0","0","3","1"
"MIRT053023","hsa","hsa","hsa-miR-20a-5p","DUSP2","1","1","1","0","1","0","0","0","4","3"
"MIRT053109","hsa","hsa","hsa-miR-20a-5p","ITGB8","1","0","1","0","0","0","0","0","2","1"
"MIRT053159","hsa","hsa","hsa-miR-20a-5p","SMAD7","1","1","1","0","0","0","0","0","3","1"
"MIRT053208","hsa","hsa","hsa-miR-20a-5p","MAP3K5","1","1","1","0","0","0","0","0","3","1"
"MIRT053332","hsa","hsa","hsa-miR-20a-5p","MCL1","1","1","1","0","1","0","0","0","4","2"
"MIRT053505","hsa","hsa","hsa-miR-20a-5p","TP53INP1","1","1","1","0","1","0","0","0","4","2"
"MIRT053563","hsa","hsa","hsa-miR-20a-5p","EGR2","1","1","1","0","0","0","0","0","3","1"
"MIRT053705","mmu","mmu","mmu-miR-20a-5p","Zfpm2","1","1","1","0","0","0","0","0","3","1"
"MIRT054289","mmu","mmu","mmu-miR-20a-5p","ULK1","1","1","1","0","0","0","0","0","3","1"
"MIRT054319","mmu","mmu","mmu-miR-20a-5p","Hbp1","1","1","1","0","0","0","0","0","3","1"
"MIRT054475","mmu","mmu","mmu-miR-20a-5p","Ep300","1","1","1","1","0","0","0","0","4","1"
"MIRT054657","mmu","mmu","mmu-miR-20a-5p","Trp53inp1","1","1","1","0","0","0","0","0","3","1"
"MIRT054698","mmu","mmu","mmu-miR-20a-5p","Tbx3","1","0","1","0","1","0","0","0","3","1"
"MIRT054701","mmu","mmu","mmu-miR-20a-5p","Fgf10","1","0","1","0","1","0","0","0","3","1"
"MIRT054702","mmu","mmu","mmu-miR-20a-5p","Shox2","1","0","1","0","1","0","0","0","3","1"
"MIRT054705","mmu","mmu","mmu-miR-20a-5p","Osr1","1","0","1","0","1","0","0","0","3","1"
"MIRT054860","hsa","hsa","hsa-miR-20a-5p","ABL2","1","1","1","0","0","0","0","0","3","1"
"MIRT055020","hsa","hsa","hsa-miR-20a-5p","TPRG1L","0","0","0","0","1","0","0","0","1","2"
"MIRT055382","hsa","hsa","hsa-miR-20a-5p","SHOC2","0","0","0","0","1","0","0","0","1","3"
"MIRT055649","hsa","hsa","hsa-miR-20a-5p","WDR37","0","0","0","0","1","0","0","0","1","1"
"MIRT056476","hsa","hsa","hsa-miR-20a-5p","PFKP","0","0","0","0","1","0","0","0","1","5"
"MIRT056811","hsa","hsa","hsa-miR-20a-5p","REEP3","0","0","0","0","1","0","0","0","1","2"
"MIRT057384","hsa","hsa","hsa-miR-20a-5p","TNKS2","0","0","0","0","1","0","0","0","1","2"
"MIRT057822","hsa","hsa","hsa-miR-20a-5p","SLC30A7","0","0","0","0","1","0","0","0","1","1"
"MIRT058912","hsa","hsa","hsa-miR-20a-5p","FAM46C","0","0","0","0","1","0","0","0","1","1"
"MIRT059186","hsa","hsa","hsa-miR-20a-5p","CRY2","0","0","0","0","1","0","0","0","1","1"
"MIRT060075","hsa","hsa","hsa-miR-20a-5p","TMEM138","0","0","0","0","1","0","0","0","1","1"
"MIRT060678","hsa","hsa","hsa-miR-20a-5p","KLHL20","0","0","0","0","1","0","0","0","1","1"
"MIRT061181","hsa","hsa","hsa-miR-20a-5p","MED17","0","0","0","0","1","0","0","0","1","2"
"MIRT061789","hsa","hsa","hsa-miR-20a-5p","PPP1R15B","0","0","0","0","1","0","0","0","1","5"
"MIRT063054","hsa","hsa","hsa-miR-20a-5p","ULK1","0","0","0","0","1","0","0","0","1","1"
"MIRT063434","hsa","hsa","hsa-miR-20a-5p","SKI","0","0","0","0","1","0","0","0","1","1"
"MIRT064435","hsa","hsa","hsa-miR-20a-5p","GPR137B","0","0","0","0","1","0","0","0","1","2"
"MIRT064797","hsa","hsa","hsa-miR-20a-5p","ZBTB18","0","0","0","0","1","0","0","0","1","2"
"MIRT065364","hsa","hsa","hsa-miR-20a-5p","TMBIM6","0","0","0","0","1","0","0","0","1","1"
"MIRT065670","hsa","hsa","hsa-miR-20a-5p","ACVR1B","0","0","0","0","1","0","0","0","1","3"
"MIRT065858","hsa","hsa","hsa-miR-20a-5p","GDF11","0","0","0","0","1","0","0","0","1","1"
"MIRT065886","hsa","hsa","hsa-miR-20a-5p","RAB5B","0","0","0","0","1","0","0","0","1","5"
"MIRT067229","hsa","hsa","hsa-miR-20a-5p","FOXJ2","0","0","0","0","1","0","0","0","1","1"
"MIRT068492","hsa","hsa","hsa-miR-20a-5p","NHLRC3","0","0","0","0","1","0","0","0","1","1"
"MIRT070839","hsa","hsa","hsa-miR-20a-5p","EIF2S1","0","0","0","0","1","0","0","0","1","2"
"MIRT070995","hsa","hsa","hsa-miR-20a-5p","SMOC1","0","0","0","0","1","0","0","0","1","1"
"MIRT071324","hsa","hsa","hsa-miR-20a-5p","CMPK1","0","0","0","0","1","0","0","0","1","1"
"MIRT071903","hsa","hsa","hsa-miR-20a-5p","ZFYVE9","0","0","0","0","1","0","0","0","1","1"
