"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT000958","hsa","hsa","hsa-miR-130a-3p","HOXA5","1","1","1","0","1","0","1","0","5","3"
"MIRT001141","hsa","hsa","hsa-miR-130a-3p","MAFB","1","0","0","0","0","0","1","0","2","1"
"MIRT006259","hsa","hsa","hsa-miR-130a-3p","ATG2B","1","0","0","0","0","0","0","0","1","1"
"MIRT003005","hsa","hsa","hsa-miR-130a-3p","TAC1","1","0","0","0","0","0","1","0","2","1"
"MIRT003782","hsa","hsa","hsa-miR-130a-3p","ATXN1","1","1","1","0","0","0","1","0","4","1"
"MIRT003900","hsa","hsa","hsa-miR-130a-3p","APP","1","0","0","0","0","0","1","0","2","1"
"MIRT004358","hsa","hsa","hsa-miR-130a-3p","MEOX2","1","1","1","0","0","0","1","0","4","2"
"MIRT004575","hsa","hsa","hsa-miR-130a-3p","CSF1","1","1","0","0","0","0","1","0","3","2"
"MIRT005441","hsa","hsa","hsa-miR-130a-3p","HOXA10","1","0","1","1","0","0","0","0","3","1"
"MIRT005674","hsa","hsa","hsa-miR-130a-3p","KLF4","1","0","1","1","0","0","1","0","4","1"
"MIRT005957","hsa","hsa","hsa-miR-130a-3p","PPARG","1","1","1","1","1","0","0","0","5","4"
"MIRT006356","hsa","hsa","hsa-miR-130a-3p","ESR1","1","0","0","0","1","0","0","0","2","2"
"MIRT006258","hsa","hsa","hsa-miR-130a-3p","DICER1","1","0","0","0","1","0","0","0","2","5"
"MIRT006992","hsa","hsa","hsa-miR-130a-3p","IFITM1","1","0","0","0","0","0","0","0","1","1"
"MIRT007055","hsa","hsa","hsa-miR-130a-3p","RUNX3","1","1","1","1","0","0","0","0","4","4"
"MIRT007137","hsa","hsa","hsa-miR-130a-3p","MET","0","0","1","0","0","0","0","0","1","1"
"MIRT007138","hsa","hsa","hsa-miR-130a-3p","RAB5A","0","0","1","0","0","0","0","0","1","1"
"MIRT007139","hsa","hsa","hsa-miR-130a-3p","DNM2","0","0","1","0","0","0","0","0","1","1"
"MIRT007140","hsa","hsa","hsa-miR-130a-3p","LDLR","0","0","1","0","1","0","0","0","2","4"
"MIRT007141","hsa","hsa","hsa-miR-130a-3p","ACVR1","0","0","1","0","1","0","0","0","2","2"
"MIRT007142","hsa","hsa","hsa-miR-130a-3p","BMPR2","0","0","1","1","0","0","0","0","2","2"
"MIRT007143","hsa","hsa","hsa-miR-130a-3p","SMAD5","0","0","1","1","0","0","0","0","2","2"
"MIRT007144","hsa","hsa","hsa-miR-130a-3p","SMAD4","1","0","1","1","1","0","0","0","4","7"
"MIRT021867","hsa","hsa","hsa-miR-130a-3p","ZFPM2","0","0","0","0","0","0","1","0","1","1"
"MIRT045849","hsa","hsa","hsa-miR-130a-3p","STK38L","0","0","0","0","1","0","0","0","1","1"
"MIRT045850","hsa","hsa","hsa-miR-130a-3p","CTSA","0","0","0","0","1","0","0","0","1","1"
