source,target
EIF5,RPS27A
EIF5,RPL13
CSNK1A1,RPS27A
CSNK1A1,DDB1
UBTF,POLR2E
UBTF,MYC
RB1,CDC6
RB1,ORC6
RB1,CCND2
RB1,CCNE1
RB1,CTBP1
RB1,MYC
RB1,HMGA1
RB1,HMGA2
ARCN1,COPB1
ARCN1,ARF1
ARCN1,KDELR1
ARCN1,DCTN4
ARCN1,SPTBN1
KDELR1,COPB1
KDELR1,ARF1
KDELR1,SPTBN1
RPS27A,CDC6
RPS27A,POLR2E
RPS27A,PSMA3
RPS27A,HSPA8
RPS27A,SSR1
RPS27A,JAG1
RPS27A,LRP6
RPS27A,MAPK6
RPS27A,CCNE1
RPS27A,PIK3C2A
RPS27A,USP7
RPS27A,UBE2H
RPS27A,CHEK2
RPS27A,ATM
RPS27A,DDB1
RPS27A,UBR4
RPS27A,BRCA1
RPS27A,SMAD4
RPS27A,SMAD1
RPS27A,HECTD3
RPS27A,RPL13
RPS27A,ETF1
MCL1,PMAIP1
HNRNPA0,HSPA8
HNRNPA0,HNRNPU
NSA2,RPL13
USP7,POLR2E
USP7,DDB1
TNRC6B,MYC
TNRC6B,TNRC6A
BRCA1,POLR2E
BRCA1,CCNE1
BRCA1,ATM
BRCA1,CTBP1
BRCA1,BLOC1S2
BRCA1,CDK9
BRCA1,CHEK2
HSPA8,POLR2E
HSPA8,CPSF2
HSPA8,BAG4
HSPA8,PIK3C2A
HSPA8,HNRNPU
HSPA8,CSTF2
HSPA8,HSPA13
HSPA8,HSPD1
HSPA8,AP1S3
HSPA8,SMAD4
TAF13,POLR2E
TAF13,PHAX
TAF13,GTF2A1
TAF13,CDK9
CDC6,ORC6
CDC6,PSMA3
CDC6,CCNE1
PIK3C2A,ARF1
COPB1,ARF1
COPB1,SPTBN1
COPB1,DCTN4
HSPD1,MYC
SSR3,SSR1
CSTF2,POLR2E
CSTF2,HNRNPU
CSTF2,CPSF2
PPP1CC,CPSF2
PPP1CC,OGT
CCNE1,ORC6
CCNE1,CCND2
CCNE1,TCP1
CTBP1,ATM
CTBP1,MYC
CTBP1,SMAD4
PSMA3,MAPK6
RTF1,POLR2E
RTF1,CHD1
RTF1,CDK9
HSPA13,BAG4
CDK9,POLR2E
CDK9,CCND2
CDK9,ACVR1
CDK9,ATM
CDK9,PHAX
CDK9,SMAD4
PMAIP1,BID
PMAIP1,MYC
GTF2A1,PHAX
RAB18,DCTN4
JAG1,ADAM17
AP1S3,ARF1
HMGA2,HMGA1
HMGA2,SMAD4
NOS2,MYC
MTDH,MYC
SPTBN1,ARF1
SPTBN1,DCTN4
RPL13,SSR1
RPL13,ETF1
PDCD10,MYC
DDB1,POLR2E
UBR4,UBE2H
UBR4,HECTD3
CCND2,MYC
CCND2,ACVR1
PHAX,POLR2E
BID,ATM
ACVR1,SMAD1
UBE2H,HECTD3
ATM,POLR2E
ATM,MSH6
ATM,CHEK2
HMGA1,MYC
SMAD4,SMAD1
SMAD4,MYC
POLR2E,CPSF2
TNRC6A,MYC
MYC,CFLAR
CPSF2,HNRNPU
