source,target
HNRNPA1,RBM22
HNRNPA1,SNRPD3
HNRNPA1,PAPOLA
HNRNPA1,CSTF1
HNRNPA1,DDX5
HNRNPA1,SNRPB2
HNRNPA1,CCAR1
HNRNPA1,PRPF6
HNRNPA1,POLR2D
HNRNPA1,SLU7
HNRNPA1,CPSF2
HNRNPA1,SNRPD1
HNRNPA1,CSTF3
HNRNPA1,NCBP2
HNRNPA1,CWC27
DYRK2,MDM4
DYRK2,UBC
ELP2,ELP1
CDKN1B,TFDP2
CDKN1B,MYC
CDKN1B,E2F1
CDKN1B,UBE2C
CDKN1B,MCM4
CDKN1B,BRCA1
CDKN1B,YWHAZ
CDKN1B,RBL1
CDKN1B,CTCF
CDKN1B,PDPK1
CDKN1B,CCNA2
CDKN1B,CDK4
CDKN1B,UBC
TOP1,SUMO1
EXOSC1,RPS7
EXOSC1,DCP2
EXOSC1,KHSRP
EXOSC1,EXOSC2
EXOSC1,EXOSC8
EXOSC1,NOP56
POLR2D,RBM22
POLR2D,SNRPD3
POLR2D,CSTF1
POLR2D,PAF1
POLR2D,DDX5
POLR2D,COPS7A
POLR2D,SNRPB2
POLR2D,PRPF6
POLR2D,PCNA
POLR2D,NCBP2
POLR2D,COPS5
POLR2D,SNRPD1
POLR2D,GTF2E1
POLR2D,CWC27
POLR2D,BRCA1
POLR2D,POLD1
POLR2D,PHAX
POLR2D,CPSF2
POLR2D,HIST1H2BJ
POLR2D,TAF1
POLR2D,RPRD2
POLR2D,UBC
POLR2D,RBBP4
POLR2D,SP1
POLR2D,TAF8
POLR2D,CSTF3
POLR2D,H2AFX
BCL2L11,BCL2L2
BCL2L11,BBC3
RBBP4,CTCF
RBBP4,MIS18A
RBBP4,ZNF217
RBBP4,JARID2
RBBP4,HIST1H2BJ
RBBP4,E2F1
RBBP4,RNF2
RBBP4,H2AFX
RBBP4,HDAC1
RBBP4,TFDP2
RBBP4,UBE3A
RBBP4,C17orf49
RBBP4,PCNA
RBBP4,RBL1
SRP19,SSR1
SRP19,SSR3
SRP19,RPS7
TMEM173,UBC
EIF5,RPS7
EIF5,EIF4H
EIF5,EIF2S3
KHSRP,MAPK14
KHSRP,YWHAZ
KHSRP,EXOSC2
KHSRP,DCP2
KHSRP,EXOSC8
RBM22,NCBP2
RBM22,SNRPD1
RBM22,CSTF1
RBM22,CWC27
RBM22,DDX5
RBM22,PRPF6
RBM22,CPSF2
RBM22,SLU7
RBM22,SNRPD3
RBM22,CCAR1
RBM22,CSTF3
RBM22,SNRPB2
RBM22,PAPOLA
ZNF217,HDAC1
MAP2K7,TAB1
MAP2K7,MAPK14
ACAA2,ALDH6A1
ACAA2,ACOX1
PDPK1,NFKBIA
PDPK1,YES1
PDPK1,PRKCA
ARHGEF7,YES1
ARHGEF7,UBC
ARHGEF7,PAK4
PAPOLA,SNRPD3
PAPOLA,DDX5
PAPOLA,NCBP2
PAPOLA,SNRPD1
PAPOLA,PRPF6
PAPOLA,CCAR1
PAPOLA,CSTF1
PAPOLA,CWC27
PAPOLA,SLU7
PAPOLA,CPSF2
PAPOLA,SNRPB2
PAPOLA,CSTF3
YTHDC1,CSTF1
YTHDC1,CPSF2
YTHDC1,CSTF3
TFDP2,CDK4
TFDP2,CCNA2
TFDP2,NOTCH1
TFDP2,E2F1
TFDP2,HDAC1
TFDP2,RBL1
TFDP2,MYC
TFDP2,PCNA
TFDP2,DHFR
TFDP2,BRCA1
NEDD4L,UBE2K
NEDD4L,ASB6
NEDD4L,FBXW7
NEDD4L,TRIM11
NEDD4L,ZBTB16
NEDD4L,UBC
NEDD4L,UBE2C
NEDD4L,HECTD3
NEDD4L,UBE3A
PLIN3,STX16
PLIN3,IGF2R
NASP,PCNA
PRIM1,MCM4
PRIM1,POLA2
PRIM1,PCNA
PRIM1,DNA2
PRIM1,POLD1
UBE2C,UBE2K
UBE2C,CCNA2
UBE2C,FBXW7
UBE2C,TRIM11
UBE2C,PSME3
UBE2C,ANAPC16
UBE2C,PSMD1
UBE2C,ZBTB16
UBE2C,HIST1H2BJ
UBE2C,UBC
UBE2C,UBE3A
UBE2C,H2AFX
UBE2C,BRCA1
UBE2C,RNF2
UBE2C,HECTD3
MIS18A,H2AFX
EIF4H,EIF2S3
EIF4H,RPS7
H2AFX,MAPK14
H2AFX,RIF1
H2AFX,CDK4
H2AFX,CTCF
H2AFX,CCNA2
H2AFX,JARID2
H2AFX,HIST1H2BJ
H2AFX,UBC
H2AFX,RNF2
H2AFX,HDAC1
H2AFX,BRCA1
H2AFX,SUMO1
H2AFX,ACD
STX16,SNAP29
STX16,IGF2R
YWHAZ,MAPK14
YWHAZ,PPP3R1
YWHAZ,HUS1
YWHAZ,PRKCA
PSME3,NFKBIA
PSME3,CCNA2
PSME3,PSMD1
PSME3,UBC
PCNA,USP10
PCNA,UNG
PCNA,CDK4
PCNA,HUS1
PCNA,MCM4
PCNA,POLA2
PCNA,ESCO1
PCNA,CCNA2
PCNA,UBC
PCNA,E2F1
PCNA,RBL1
PCNA,DNA2
PCNA,SUMO1
PCNA,BRCA1
PCNA,POLD1
HUS1,DNA2
HUS1,BRCA1
YES1,MAPK14
YES1,RRAS
YES1,PAK4
CDK4,E2F1
CDK4,ACTL6A
CDK4,RBL1
CDK4,CCNA2
CDK4,HDAC1
CDK4,MYC
CDK4,BRCA1
CDK4,HIST1H2BJ
CDK4,MMS19
RALA,MAPK14
MDM4,UBC
CTCF,MYC
CTCF,HIST1H2BJ
PUM3,ESF1
PUM3,PA2G4
PUM3,MAK16
PUM3,NOP56
DVL3,NOTCH1
DVL3,PSMD1
DVL3,MYC
DVL3,FZD4
DVL3,UBC
PRKCA,NFKBIA
PRKCA,ADAM17
PRKCA,PLA2G4A
PRKCA,FZD4
SP1,NFKBIA
SP1,MAPK14
SP1,CPT1A
SP1,GTF2E1
SP1,ACOX1
SP1,PHAX
SP1,MMP14
SP1,NCBP2
SP1,RPRD2
SP1,E2F1
SP1,TAF8
SP1,HDAC1
SP1,MYC
SP1,DHFR
SP1,BBC3
PER2,CRY2
PER2,UBC
PACSIN3,RAB5C
HDAC1,NFKBIA
HDAC1,CCNA2
HDAC1,NOTCH1
HDAC1,NRIP1
HDAC1,HIST1H2BJ
HDAC1,E2F1
HDAC1,RBL1
HDAC1,SUMO1
HDAC1,UBE3A
POLD1,POLA2
POLD1,UBC
POLD1,MMS19
POLD1,DNA2
POLD1,BRCA1
FZD4,UBC
FZD4,RAB5C
MTHFD1L,DHFR
ACD,BRCA1
RNF2,MAPK14
RNF2,TAF1
RNF2,SUMO3
RNF2,BRCA1
LSM14A,DCP2
MCM4,UBC
MCM4,CCNA2
MCM4,POLA2
PHAX,SNRPD3
PHAX,GTF2E1
PHAX,NUP43
PHAX,NCBP2
PHAX,SNRPD1
PHAX,RPRD2
PHAX,TAF8
HECTD3,UBE2K
HECTD3,ASB6
HECTD3,FBXW7
HECTD3,TRIM11
HECTD3,ZBTB16
HECTD3,UBC
HECTD3,UBE3A
RIF1,BRCA1
RIF1,SUMO1
RIF1,HIST1H2BJ
CWC27,SNRPD3
CWC27,CSTF1
CWC27,DDX5
CWC27,SNRPB2
CWC27,CCAR1
CWC27,PRPF6
CWC27,CPSF2
CWC27,SNRPD1
CWC27,CSTF3
CWC27,NCBP2
CCAR1,CSTF1
CCAR1,DDX5
CCAR1,SNRPB2
CCAR1,PRPF6
CCAR1,NCBP2
CCAR1,CPSF2
CCAR1,SLU7
CCAR1,CSTF3
PSMD1,NFKBIA
PSMD1,CCNA2
PSMD1,UBC
TRIM11,UBE2K
TRIM11,ASB6
TRIM11,FBXW7
TRIM11,UBE3A
TRIM11,UBC
TRIM11,ZBTB16
ADAM17,NOTCH1
ADAM17,UBC
MAPK14,TAB1
MAPK14,NFKBIA
MAPK14,HIST1H2BJ
MAPK14,MYC
MAPK14,PLA2G4A
RBL1,CCNA2
RBL1,E2F1
RBL1,DHFR
RBL1,BRCA1
RBL1,MYC
CSTF3,SNRPD3
CSTF3,CSTF1
CSTF3,DDX5
CSTF3,SNRPB2
CSTF3,PRPF6
CSTF3,SLU7
CSTF3,CPSF2
CSTF3,SNRPD1
CSTF3,NCBP2
GTF2E1,TAF1
GTF2E1,NCBP2
GTF2E1,RPRD2
GTF2E1,TAF8
HEYL,NOTCH1
ESF1,NOP56
ESF1,MAK16
CPT1A,NRIP1
CPT1A,ACOX1
UBE3A,UBE2K
UBE3A,ASB6
UBE3A,FBXW7
UBE3A,ZBTB16
UBE3A,UBC
UBE3A,SUMO1
SNRPB2,SNRPD3
SNRPB2,CSTF1
SNRPB2,DDX5
SNRPB2,NCBP2
SNRPB2,SNRPD1
SNRPB2,PRPF6
SNRPB2,CPSF2
SNRPB2,SLU7
PRPF6,SNRPD3
PRPF6,CSTF1
PRPF6,DDX5
PRPF6,SLU7
PRPF6,CPSF2
PRPF6,NCBP2
PRPF6,SNRPD1
RAB5C,UBC
RAB5C,IGF2R
CSTF1,SNRPD3
CSTF1,NCBP2
CSTF1,CPSF2
CSTF1,SNRPD1
CSTF1,BRCA1
CSTF1,DDX5
CSTF1,SLU7
POLR3D,GTF3C2
POLR3D,MYC
POLR3D,GTF3C6
POLR3D,CRCP
