source,target
MCL1,BCL2L11
VEGFA,MET
VEGFA,MTOR
EEA1,RAB5A
PPP2R2A,CNEP1R1
PPP2R2A,TGFBR1
PPP2R2A,PPP1CC
DNMT3A,EED
DNMT3A,ARID1A
DNMT3A,SMARCD1
DNMT3A,AEBP2
FBXW7,RNF111
FBXW7,BTRC
FBXW7,LTN1
XIAP,TGFBR1
PIP5K1C,RAC1
PIP5K1C,PIP4K2A
BTRC,RNF111
BTRC,PPP2R5E
BTRC,LTN1
BTRC,JAK2
MET,RANBP9
MET,RAB5A
MET,RAC1
AGO4,KDM6B
AGO4,DICER1
PPP1CC,PAFAH1B1
PPP1CC,TGFBR1
PPP1CC,CNEP1R1
PPP1CC,PPP2R5E
RANBP9,MKLN1
DYRK2,ATM
RAC1,MAP2K1
RAC1,MYO9A
RAC1,NCKAP1
RAC1,PAFAH1B1
RAC1,FZD6
TGFBR1,TGFBR3
AP1G1,BLOC1S6
AP1G1,TGOLN2
AP1G1,AP1S3
MAP2K1,JAK2
KDM6B,FOS
KDM6B,CBX4
SMARCD1,ARID1A
RNF111,LTN1
FOS,MSH2
FOS,BCL2L11
FOS,JAK2
RAB5A,TGOLN2
BLOC1S6,TGOLN2
ATM,MSH2
TGOLN2,STX16
AEBP2,EED
AEBP2,CBX4
BICD2,PAFAH1B1
CBX4,EED
PAFAH1B1,PPP2R5E
