source,target
SMARCA2,MYC
RNF4,KLHL20
RNF4,RLIM
RNF4,RNF111
RNF4,KLHL3
RNF4,KLHL11
RNF4,CUL5
RNF4,LONRF1
KLHL20,LONRF1
KLHL20,CUL5
KLHL20,KLHL11
KLHL20,RNF111
KLHL20,KLHL3
KLHL20,RLIM
TGOLN2,WASL
TGOLN2,GAK
TGOLN2,RAB5B
TGOLN2,OCRL
TGOLN2,STX16
TGOLN2,EPS15
TGOLN2,LDLR
RNF111,RLIM
RNF111,SOCS1
RNF111,SMAD4
RNF111,KLHL3
RNF111,CUL5
RNF111,LONRF1
RNF111,SOCS3
RNF111,KLHL11
RRAGD,AKT1
PHLPP1,AKT1
CLIP1,PPP2R5E
BCL2L11,MAPK1
BCL2L11,AKT1
TNFRSF10B,MAP3K1
RRAS2,RAF1
WASL,OCRL
WASL,LDLR
WASL,EPS15
WASL,RAB5B
WASL,ACTB
WASL,GAK
MAP3K1,MAPK14
MAP3K1,MAP2K3
MAP3K1,MAVS
RORA,CLOCK
RORA,PPARA
SMAD4,KAT2B
SMAD4,CCNT2
SMAD4,TRIM33
SMAD4,MYC
SMAD4,BMPR2
PPARA,MAPK1
PPARA,ABCA1
PPARA,MYC
PPARA,DUT
PPARA,CHD9
PPARA,CLOCK
MOB1B,STK38
MOB1B,STK4
AKT1,MAPK14
AKT1,RAF1
AKT1,MYC
AKT1,MEF2A
AKT1,GRB10
AKT1,PPP2R5E
AKT1,USP8
KLHL3,RLIM
KLHL3,CUL5
KLHL3,LONRF1
KLHL3,KLHL11
ACTB,PFN1
ACTB,STK38
ACTB,PFN2
ACTB,YY1
ACTB,KAT2B
ACTB,CFL2
ACTB,NF1
YY1,MYC
YY1,KAT2B
SGK1,RAF1
CUL5,RLIM
CUL5,KLHL11
CUL5,SOCS1
CUL5,SOCS3
CUL5,LONRF1
CHD9,ABCA1
DUT,MAPK1
MAPK1,PRKACB
MAPK1,MYC
MAPK1,STAT5B
MAPK1,RAF1
PRKACB,CCND2
PRKACB,CCNT2
PRKACB,ITPR1
PRKACB,ABCA1
PRKACB,RAPGEF4
PFN2,PFN1
HDAC4,KAT2B
BAMBI,BMPR2
PPP2R5E,RAF1
RAB5B,GAK
RAB5B,OCRL
RAB5B,EPS15
MEF2A,MAPK14
MEF2A,KAT2B
TNIP1,TNFAIP3
STAT5B,CCND2
STAT5B,BRWD1
STAT5B,SOCS3
STAT5B,SOCS1
SOCS3,MAPK14
SOCS3,RLIM
SOCS3,KLHL11
SOCS3,SOCS1
NDRG1,MYC
FZD6,USP8
KDELR2,RAB1A
KDELR2,NAPB
KDELR2,ARHGAP1
GAK,LDLR
GAK,EPS15
GAK,OCRL
TNRC6B,MAPK14
TNRC6B,MYC
TNRC6B,TNRC6A
EPS15,OCRL
EPS15,LDLR
TNRC6A,MAPK14
TNRC6A,MYC
TNFAIP3,XIAP
RLIM,LONRF1
RLIM,KLHL11
RLIM,SOCS1
KLHL11,SOCS1
KLHL11,LONRF1
CCND2,MYC
CCND2,CCNT2
BMPR2,XIAP
RAPGEF4,RAF1
KAT2B,MAPK14
KAT2B,TAF4
KAT2B,MYC
STX16,NAPB
LDLR,OCRL
NAPB,RAB1A
MAP2K3,MAPK14
SLC9A1,MAPK14
MAPK14,MYC
