source,target
SP1,CCND2
SP1,CCNT2
SP1,FOS
SP1,MYC
SP1,BBC3
MMP2,VEGFA
MMP2,FOS
COL15A1,COL1A1
COL15A1,COL5A3
COL15A1,COL4A2
COL15A1,COL4A1
PDGFB,PDGFA
PDGFB,COL4A1
PDGFB,THBS2
PDGFB,COL4A2
PDGFB,VEGFA
LOXL2,BMP1
AKT3,VEGFA
COL1A1,COL4A1
COL1A1,BMP1
COL1A1,P3H1
COL1A1,COL4A2
COL1A1,COL5A3
MYC,CCND2
MYC,DNMT3A
MYC,FOS
MYC,NCOA3
MYC,ITGA6
LAMC1,LAMA2
LAMC1,CDC42
LAMC1,ITGA6
THBS2,ITGA6
P3H1,COL5A3
P3H1,COL4A1
P3H1,COL4A2
CCND2,CCNT2
SGK1,SMARCC1
KDM6B,FOS
KDM6B,CBX6
SMARCC1,DNMT3A
MCL1,BBC3
COL4A2,COL5A3
COL4A2,COL4A1
LAMA2,CDC42
LAMA2,ITGA6
COL4A1,COL5A3
BMP1,COL5A3
