source,target
PIP5K1C,WASL
PIP5K1C,PLCG1
BTRC,PER2
BTRC,PSMD11
BTRC,AXIN1
BTRC,PSMD3
BTRC,FBXW7
BTRC,TRIP12
BTRC,UBR1
BTRC,PSME3
BTRC,PSMC3
BTRC,PSMD2
BTRC,KLHL3
BTRC,KLHL11
BTRC,RNF4
BTRC,UBE2H
BTRC,CUL5
BTRC,HECTD1
BTRC,HDAC1
HSD17B10,HADHA
HSD17B10,ACAA1
HSD17B10,ACAT2
HIST1H2AH,EP300
HIST1H2AH,KAT2B
HIST1H2AH,ARID4B
HIST1H2AH,SAP30
HIST1H2AH,ACTB
HIST1H2AH,HDAC1
HIST1H2AH,RBBP7
COL4A2,P4HB
COL4A2,COL18A1
COL4A2,COL4A1
PSMD2,PSMA4
PSMD2,CDC6
PSMD2,PSMD5
PSMD2,PSMD11
PSMD2,PSMB1
PSMD2,AXIN1
PSMD2,PSMD3
PSMD2,PSMB6
PSMD2,PSME3
PSMD2,PSMC3
PSMD2,PSMA7
PSMD2,RAD23B
EXOC5,MYH2
EXOC5,RAB11A
EXOC5,MYO1C
TGFA,TFG
TGFA,CD59
RRM1,CDC6
RRM1,AK2
RRM1,PKM
RRM1,NTPCR
RPA2,CDC6
RPA2,ORC6
RPA2,USP10
RPA2,EP300
RPA2,ATM
RPA2,PPP4C
RPA2,ORC5
RPA2,NPLOC4
RPA2,RAD23B
RPA2,REV3L
RPA2,POLI
TERF2,SLX4
TERF2,RAD21
TERF2,SMC1A
TERF2,ATM
TERF2,STAG1
TERF2,SMC3
RBM28,TWISTNB
RBM28,SURF6
RBM28,DDX56
RBM28,RRP9
RBM28,HEATR1
EIF2B2,EIF2S3
HIST2H2AA3,H3F3B
FKBP8,VDAC2
KLHL3,FBXW7
KLHL3,TRIP12
KLHL3,UBR1
KLHL3,CUL5
KLHL3,HECTD1
KLHL3,RNF4
KLHL3,UBE2H
KLHL3,KLHL11
KLHL3,RNF123
PFKM,ENO1
PFKM,PKM
PFKM,TKT
PFKM,MYC
MAN2A1,COG3
MAN2A1,NSF
MAN2A1,GOLIM4
HSPA1B,DNAJB9
HSPA1B,GAK
HSPA1B,HSP90AB1
IQGAP1,PEBP1
IQGAP1,ITPR1
IQGAP1,ACTB
IQGAP1,PAFAH1B1
CUL5,CDC37
CUL5,FBXW7
CUL5,TRIP12
CUL5,UBR1
CUL5,KLHL11
CUL5,RNF4
CUL5,RNF123
CUL5,UBE2H
CUL5,HECTD1
JAG2,NOTCH2
KPNA6,KPNB1
DHTKD1,ACLY
DHTKD1,SUCLG2
DHTKD1,DBT
SMAD7,PPP1CC
SMAD7,HDAC1
SMAD7,ZFYVE16
SMAD7,BMPR2
SMAD7,AXIN1
SMAD7,SMAD4
SMAD7,XPO1
GOLGA4,COG3
GOLGA4,NSF
GOLGA4,TMF1
RBBP7,MBD2
RBBP7,EP300
RBBP7,ARID4B
RBBP7,SMARCA5
RBBP7,SAP30
RBBP7,NPM1
RBBP7,HIST1H2AC
RBBP7,PHF12
RBBP7,SMAD4
RBBP7,GATAD2A
RBBP7,SIN3A
RBBP7,RNF2
RBBP7,GATAD2B
RBBP7,HDAC1
RBBP7,SIN3B
RBBP7,CBX6
MYH2,WASL
MYH2,MYO1C
MYH2,ARPC2
MYH2,ACTB
ALDH9A1,MYC
RAD21,RANBP2
RAD21,PDS5B
RAD21,HIST1H2AC
RAD21,PPP1CC
RAD21,SMC3
RAD21,STAG1
RAD21,PAFAH1B1
RAD21,INCENP
RAD21,RANGAP1
RAD21,NUP43
RAD21,XPO1
RAD21,SMC1A
GEMIN2,GEMIN6
