source,target
TFDP2,CDKN1B
TFDP2,CREBBP
TFDP2,ATM
GNAI2,GNB4
RBM5,BUD31
RBM5,SRSF9
RBM5,HNRNPA1
RBM5,BCAS2
RBM5,ELAVL1
RBM5,HNRNPA3
RBM5,PUF60
RBM5,PCBP2
RBM5,EFTUD2
RBM5,SRSF10
SP3,SP1
RNF4,FBXL4
RNF4,CUL3
RNF4,ATM
RNF4,HECTD2
RNF4,RCHY1
RNF4,KLHL21
RNF4,UBE2H
RNF4,H2AFX
RNF4,HIST1H2BK
TOB1,CNOT1
ADAM17,SORT1
ADAM17,PRKCA
EIF2S3,EIF3E
EIF2S3,RPS18
EIF2S3,RPL12
EIF2S3,EIF4G1
EIF2S3,RPL35
EIF2S3,EIF4A2
EIF2S3,RPL21
EIF2S3,RPS25
EIF2S3,EIF2B5
EIF2S3,RPS13
EIF2S3,RPL8
ANK3,RAB1A
ANK3,NSF
ROBO1,CDH2
ROBO1,CTNNA1
ROBO1,ABL1
TFRC,SORT1
TFRC,SH3GL1
TFRC,IGF2R
TFRC,ATP6V1H
TFRC,AP2A2
TFRC,SNAPIN
NSF,GOLGB1
NSF,IGF2R
NSF,RAB1A
NSF,VPS53
PPP2R2A,PPP2CB
PPP2R2A,RPL8
PPP2R2A,GSPT1
PPP2R2A,PPP1CC
PPP2R2A,EIF4G1
TPD52,BLOC1S6
BCAS2,SNRPD3
BCAS2,BUD31
BCAS2,SRSF9
BCAS2,HNRNPA1
BCAS2,PCBP2
BCAS2,PUF60
BCAS2,EFTUD2
BCAS2,ELAVL1
BCAS2,HNRNPA3
RSL1D1,HEATR1
USP34,AXIN1
TERF2,LMNB1
TERF2,ATM
TERF2,H2AFX
ATM,SUPT16H
ATM,HIST1H2BK
ATM,PRKDC
ATM,H2AFX
ATM,ABL1
RPP25,HEATR1
RPP25,RPS18
RPP25,RPS25
RPP25,RPS13
ATP6V1H,ATP6AP1
RPS18,EIF3E
RPS18,MRPS2
RPS18,SSR1
RPS18,RPL35
RPS18,RPL8
RPS18,MRPL13
RPS18,EIF4A2
RPS18,EIF4G1
RPS18,RPL21
RPS18,RPL12
RPS18,HEATR1
RPS18,GSPT1
RPS18,RPS25
RPS18,RPS13
SPOPL,CUL3
SPOPL,GLI2
DLG1,CTNNA1
FUBP1,PUF60
SUPT16H,HMGB2
SUPT16H,ARID1A
SUPT16H,HMGB1
RPS25,EIF3E
RPS25,MRPS2
RPS25,SSR1
RPS25,RPL35
RPS25,RPL8
RPS25,EIF4A2
RPS25,EIF4G1
RPS25,RPL21
RPS25,RPL12
RPS25,GSPT1
RPS25,RPS13
ACTB,GAPDH
ACTB,PFN2
ACTB,EFNB2
ACTB,CREBBP
ACTB,SMARCB1
ACTB,POLR1A
ACTB,COPS3
ACTB,COPS2
ACTB,ARID1A
ACTB,PPP1CC
ACTB,HMGB1
ACTB,PLS3
ACTB,RHOA
ACTB,EPHB2
ACTB,PRKCA
ACTB,MYO10
ACTB,ACTN1
CREBBP,ODC1
CREBBP,FADS1
CREBBP,SP100
CREBBP,SIN3A
CREBBP,ARID1A
CREBBP,HIST1H2BK
CREBBP,SMARCB1
CREBBP,HDAC8
CREBBP,SP1
CREBBP,SRA1
CREBBP,CDH2
CREBBP,HMGB1
CREBBP,H2AFX
RPL35,EIF3E
RPL35,MRPS2
RPL35,SSR1
RPL35,MRPL13
RPL35,EIF4G1
RPL35,RPL21
RPL35,GSPT1
RPL35,EIF4A2
RPL35,RPS13
RPL35,RPL8
RPL35,RPL12
INTS1,SP1
INTS1,ZC3H8
SRSF10,SNRPD3
SRSF10,SRSF9
SRSF10,HNRNPA1
SRSF10,PCBP2
SRSF10,HNRNPA3
RSF1,HJURP
RSF1,H2AFX
CDH2,AXIN1
CDH2,RHOA
CDH2,GJA1
CDH2,CTNNA1
CDH2,MET
CDH2,ABL1
ARHGAP17,RHOA
ODC1,PSME4
DST,LAMB3
EPHB2,EFNB2
EPHB2,ABL1
EPHB2,RHOA
EPHB2,AP2A2
DCAF8,CDKN1B
DCAF8,DCAF5
H2AFX,LMNB1
H2AFX,POLR1A
H2AFX,CBX8
H2AFX,PRKDC
H2AFX,JARID2
H2AFX,HIST1H2BK
H2AFX,SIN3A
H2AFX,HDAC8
H2AFX,BMI1
H2AFX,HJURP
H2AFX,PHC3
PFN2,RHOA
SRA1,DDX17
HEATR1,POLR1A
HEATR1,RPS13
GJA1,CTNNA1
LMNB1,HMGA1
LMNB1,PRKCA
LMNB1,HIST1H2BK
CTNNA1,AXIN1
CTNNA1,IGF1R
CTNNA1,RHOA
CTNNA1,MET
CTNNA1,ACTN1
CTNNA1,ABL1
HDAC8,HIST1H2BK
HDAC8,SIN3A
COL1A1,ITGAV
COL1A1,COL4A1
COL1A1,BMP1
PPP1CC,PPP2CB
PPP1CC,PRKG1
PPP1CC,PPP2R5E
BMP1,LOXL2
BMP1,HSPG2
BMP1,LAMB3
CUL3,FBXL4
CUL3,GLI2
CUL3,UBE2H
CUL3,RCHY1
CUL3,KLHL21
CUL3,HECTD2
CUL3,PSME4
MRPL13,MRPS2
MRPL13,MRPS27
MRPL13,RPL8
MRPL13,RPS13
MRPL13,AURKAIP1
MRPL13,RPL12
MRPL13,RPL21
FOXK1,BAP1
SP1,ZC3H8
SP1,DHCR7
HECTD2,FBXL4
HECTD2,RCHY1
HECTD2,KLHL21
HECTD2,UBE2H
SH3GL1,AP2A2
SH3GL1,IGF2R
USP22,HIST1H2BK
TTI1,RICTOR
TTI1,MTOR
PHC3,PHC2
PHC3,CBX8
PHC3,BMI1
PHC3,BAP1
AP2A2,RPS6KA3
COL4A1,ITGAV
FN1,ITGAV
FN1,IGF1R
FN1,ACTN1
PPP2R5E,PPP2CB
PPP2R5E,AXIN1
PPP2R5E,PSME4
CBX8,PHC2
CBX8,BMI1
CBX8,HIST1H2BK
CBX8,BAP1
BMI1,PHC2
BMI1,BAP1
PTCH1,SMO
PTCH1,GLI2
COPS3,COPS2
SNAPIN,BLOC1S6
EFTUD2,SNRPD3
EFTUD2,BUD31
EFTUD2,SRSF9
EFTUD2,RPL8
EFTUD2,HNRNPA1
EFTUD2,PCBP2
EFTUD2,HNRNPA3
EFTUD2,ELAVL1
EFTUD2,PUF60
EIF3E,EIF4G1
EIF3E,EIF4A2
EIF3E,RPL21
EIF3E,RPS13
EIF3E,RPL8
EIF3E,RPL12
RHOA,CDKN1B
RHOA,GNB4
RHOA,EFNB2
RHOA,ITGAV
RHOA,MET
RHOA,HMGB1
RHOA,SEMA4D
RHOA,GAB2
RHOA,ACTN1
RHOA,PRKCA
GLI2,TTC21B
GLI2,SMO
GLI2,PSME4
AURKAIP1,MRPS2
AURKAIP1,MRPS27
HSPG2,GLCE
HSPG2,SDC3
HSPG2,EXT1
PRKCA,GNB4
PRKCA,RICTOR
PRKCA,MTOR
PRKCA,GNAS
PRKCA,ELAVL1
PRKCA,IKBKB
PPP2CB,PSME4
PPP2CB,AXIN1
PCBP2,SNRPD3
PCBP2,BUD31
PCBP2,SRSF9
PCBP2,HNRNPA1
PCBP2,ELAVL1
PCBP2,HNRNPA3
PCBP2,PUF60
NUP93,AAAS
NUP93,SNRPD3
NUP93,SRSF9
NUP93,THOC2
NUP93,IPO8
NUP93,SP100
NUP93,TPR
ELAVL1,SNRPD3
ELAVL1,BUD31
ELAVL1,SRSF9
ELAVL1,HNRNPA1
ELAVL1,HNRNPA3
ELAVL1,PUF60
THOC2,SRSF9
THOC2,TPR
HIST1H2BK,POLR1A
HIST1H2BK,PRKDC
HIST1H2BK,SIN3A
KLHL21,FBXL4
KLHL21,RCHY1
KLHL21,UBE2H
PHC2,BAP1
TNIP2,IKBKB
PRKDC,RICTOR
PKM,GAPDH
PKM,POLR1A
EXT1,SDC3
EIF4G1,RPL8
EIF4G1,CNOT1
EIF4G1,EIF4A2
EIF4G1,RPS13
EIF4G1,RPL12
EIF4G1,GSPT1
EIF4G1,PABPC4
ITGAV,CDKN1B
ITGAV,HMGB1
ITGAV,IGF1R
RPL21,SSR1
RPL21,RPL8
RPL21,EIF4A2
RPL21,RPS13
RPL21,GSPT1
RPL21,RPL12
MTOR,RICTOR
MTOR,RPS6KA3
GSPT1,RPL8
GSPT1,RPL12
GSPT1,RPS13
ARID1A,SMARCB1
ARID1A,HMGB1
RPL8,MRPS2
RPL8,SSR1
RPL8,RPL12
RPL8,NHP2
RPL8,EIF4A2
RPL8,RPS13
HMGB2,HMGB1
IKBKB,HMGB1
IKBKB,PRKAR1B
RPS13,MRPS2
RPS13,SSR1
RPS13,NHP2
RPS13,EIF4A2
RPS13,RPL12
VPS53,IGF2R
GNAS,GNB4
GNAS,PRKAR1B
UBE2H,FBXL4
UBE2H,RCHY1
GLCE,SDC3
SMO,ARL6
PUF60,SNRPD3
PUF60,BUD31
PUF60,SRSF9
PUF60,HNRNPA1
PUF60,HNRNPA3
TPM3,ACTN1
TTC21B,PRKAR1B
KIF21B,RAB1A
HNRNPA3,SNRPD3
HNRNPA3,BUD31
HNRNPA3,SRSF9
HNRNPA3,HNRNPA1
