source,target
EIF5,RPS7
EIF5,EIF4E
EIF5,RPLP0
EIF5,RPS3A
PFKM,AKT1
PFKM,HK2
PFKM,PKM
SRRM2,FUS
SRRM2,CASC3
SRRM2,DHX38
SRRM2,PCBP2
SRRM2,PTBP1
SRRM2,LSM4
SRRM2,HNRNPK
SRRM2,SNRPB
MAP3K11,RAF1
SSR3,RPS7
SMO,AKT1
VDAC1,HSPD1
VDAC1,BAK1
CASC3,FUS
CASC3,RPLP0
CASC3,PABPC1
CASC3,PTBP1
CASC3,RANBP2
CASC3,NUP93
CASC3,DHX38
CASC3,SNRPB
CASC3,ETF1
TIMM10,HSPD1
DUSP6,MAPK14
ID1,SMAD4
HIST2H2BF,H3F3B
HIST2H2BF,CREBBP
HIST2H2BF,REST
KHSRP,MAPK14
KHSRP,AKT1
ERBB3,ERBB2
ERBB3,AKT1
BBC3,PMAIP1
BBC3,MCL1
MED1,CREBBP
MED1,THRAP3
MED1,CEBPA
MED1,NCOR2
MED1,CYP1A1
USP8,AKT1
USP8,FZD4
RPS3A,PABPC1
RPS3A,RPLP0
RPS3A,RPS7
RPS3A,LTV1
RPS3A,PPP2CA
RPS3A,EIF4E
RPS3A,ETF1
NUP93,NUP37
NUP93,DHX38
NUP93,RANBP2
NUP93,KPNB1
NUP93,NPM1
NUP93,UBE2I
NUP93,EIF4E
NUP93,SNRPB
HMGA1,HMGA2
LTV1,RPS7
PABPC4,EIF4E
HBS1L,ETF1
AKT1,MAPK14
AKT1,RAF1
AKT1,CREBBP
AKT1,PPP2CA
AKT1,NCOR2
AKT1,MCL1
MCL1,PMAIP1
MCL1,BAK1
PSMB1,CCNE1
PSMB1,PPP2CA
PSMB1,ANAPC16
RANBP2,NUP37
RANBP2,DHX38
RANBP2,EIF4E
RANBP2,UBE2I
RANBP2,PDS5A
RANBP2,KPNB1
RANBP2,NPM1
RANBP2,SNRPB
RANBP2,PPP2CA
NSUN2,NPM1
HSPD1,NPM1
CYP1A1,CREBBP
PTBP1,FUS
PTBP1,DHX38
PTBP1,SNRPB
PTBP1,PCBP2
PTBP1,HNRNPK
PTBP1,EIF4E
PTBP1,LSM4
SNRPB,NUP37
SNRPB,FUS
SNRPB,DHX38
SNRPB,PCBP2
SNRPB,HNRNPK
SNRPB,LSM4
MKNK2,EIF4E
NPM1,NUP37
NPM1,KPNB1
RAF1,VCL
RAF1,PPP2CA
NCOR2,MAPK14
NCOR2,CREBBP
NCOR2,SMAD4
NCOR2,CEBPA
ABL1,MAPK14
ABL1,CCNE1
HNRNPK,FUS
HNRNPK,DHX38
HNRNPK,UBE2I
HNRNPK,PCBP2
HNRNPK,LSM4
PABPC1,ETF1
PABPC1,TNKS1BP1
PABPC1,RPS7
PABPC1,EIF4E
PABPC1,RPLP0
PABPC1,PPP2CA
FUS,PCBP2
FUS,DHX38
FUS,LSM4
LSM4,DHX38
LSM4,PCBP2
LIN28A,SMAD4
PCBP2,DHX38
HMGA2,SMAD4
PARP1,CREBBP
PARP1,UBE2I
PARP1,SMAD4
CREBBP,MAPK14
CREBBP,CEBPA
CREBBP,TNRC6B
CREBBP,SMAD4
TDG,UBE2I
KPNB1,NUP37
KPNB1,SMAD4
SMC6,UBE2I
SMAD4,UBE2I
PDS5A,PPP2CA
C1D,RPLP0
C1D,RPS7
RPS7,RPLP0
RPS7,EIF4E
RPS7,ETF1
RPS7,PPP2CA
RPLP0,ETF1
RPLP0,PPP2CA
RPLP0,EIF4E
TNRC6B,MAPK14
UBE2I,NUP37
PPP1CA,PPP2CA
MAPK14,CEBPA
MAPK14,EIF4E
DHX38,NUP37
EIF4E,NUP37
ETF1,PPP2CA
PPP2CA,NUP37
