source,target
ITGA2,LAMC1
TARBP2,AGO2
TARBP2,DICER1
TARBP2,AGO4
BTRC,CUL3
BTRC,UBE2Q1
BTRC,UBE3C
BTRC,RBBP6
BTRC,AMER1
BTRC,ZBTB16
BTRC,UBE2H
BTRC,CSNK1E
BTRC,UBE4A
BTRC,CHUK
SRSF1,SNRPB2
SRSF1,POLDIP3
SRSF1,HNRNPA1
SRSF1,EFTUD2
SRSF1,HNRNPA2B1
SRSF1,PLRG1
SRSF1,SRPK1
SRSF1,NUP50
SRSF1,CPSF7
KIF5B,KIF23
KIF5B,ARCN1
KIF5B,ACTR1A
KIF5B,KLC2
KIF5B,KIF3B
PHLPP1,AKT3
NOTCH2,AGO2
NOTCH2,TNRC6B
NOTCH2,AGO4
FAM103A1,RNMT
PAFAH1B2,PAFAH1B1
BRCA1,SUPT16H
BRCA1,RIF1
BRCA1,CCNT1
BRCA1,CCNE1
BRCA1,ATF2
BRCA1,GTF2H1
BRCA1,CBX4
BRCA1,HIST1H2BK
BRCA1,HIST2H2BE
BRCA1,BMI1
BRCA1,PHC3
KPNA1,YWHAH
KPNA1,NUP50
PRIM1,ORC4
PRIM1,ENTPD1
PRIM1,POLE4
CANX,HSP90B1
ZNRF1,UBE2Q1
ZNRF1,UBE4A
ZNRF1,UBE2H
AGO2,TNRC6B
AGO2,HIST2H2BE
AGO2,AGO4
AGO2,HIST1H2BK
AGO2,DICER1
AGO2,NUP50
GOLGA5,GOSR1
PSMC4,ANAPC16
PSMC4,CCNE1
PSMC4,CUL3
PSMC4,MAPK6
PSMC4,RPS6KB1
PSMC4,ODC1
ACTR1A,KIF23
ACTR1A,KLC2
ACTR1A,CSNK1E
ACTR1A,SEPT2
ACTR1A,PAFAH1B1
ACTR1A,KIF3B
POLDIP3,RPS6KB1
POLDIP3,CPSF7
POLDIP3,NUP50
CCNE1,CCND2
CCNE1,ORC4
SUPT16H,GTF2H1
SUPT16H,CCNT2
SUPT16H,CCNT1
YWHAH,CSNK1E
YWHAH,SIK1
CRK,RPS6KB1
CRK,PRKCD
CRK,ABL2
CRK,NCKAP1
ENTPD1,PDE4D
ENTPD1,ENTPD6
KIF23,KIF3B
KIF23,ARCN1
KIF23,KLC2
HSPA1B,DNAJA1
PAFAH1B1,HAUS3
PAFAH1B1,TAOK1
PAFAH1B1,CEP63
PAFAH1B1,CSNK1E
PAFAH1B1,SEPT2
NAPG,GOSR1
NAPG,STX17
RNMT,GTF2H1
HIST2H2BE,RIF1
HIST2H2BE,ATF2
HIST2H2BE,CBX4
HIST2H2BE,TADA2B
HIST2H2BE,JARID2
HIST2H2BE,HIST1H2BK
HIST2H2BE,CHD4
HIST2H2BE,BMI1
HIST2H2BE,NCOR2
HIST2H2BE,PHC3
HIST2H2BE,AGO4
HIST2H2BE,SUN1
HIST2H2BE,CBX6
HIST2H2BE,TBL1XR1
AFF4,CCNT1
AFF4,CCNT2
ZNF559,TRIM28
CYLD,CHUK
SMAD3,ACVR2A
SMAD3,USP15
SMAD3,LAMC1
SMAD3,CCNT1
SMAD3,SMAD7
SMAD3,ATF2
SMAD3,CCNT2
SMAD3,PPM1A
SMAD3,SKI
SMAD3,NCOR2
SMAD3,HMGA2
SMAD7,ACVR2A
SMAD7,USP15
ORC4,POLE4
SRPRB,RPS5
SRPRB,TRAM1
SRPRB,RPL14
HSPA1A,BAG4
HSPA1A,HSP90B1
HSPA1A,NUP50
HSPA1A,DNAJA1
CSNK1E,RPS5
CSNK1E,AXIN2
CSNK1E,FCF1
CSNK1E,SEPT2
TBL1XR1,AXIN2
TBL1XR1,CARM1
TBL1XR1,HIST1H2BK
TBL1XR1,NCOR2
TAF13,CCNT1
TAF13,CCNT2
TAF13,GTF2H1
CUL3,UBE2Q1
CUL3,UBE4A
