source,target
ITGA2,LAMC1
TARBP2,AGO2
TARBP2,DICER1
TARBP2,AGO4
DDX5,HSPA8
DDX5,PTBP1
DDX5,HNRNPM
DDX5,EFTUD2
DDX5,HNRNPA2B1
DDX5,HNRNPA1
DDX5,SRSF1
DDX5,PLRG1
DDX5,SNRPB2
DDX5,SF3B3
DDX5,CPSF7
DDX5,HNRNPK
RPS3A,RPS5
RPS3A,RPL36
RPS3A,EIF5B
RPS3A,DHX37
RPS3A,MRPS11
RPS3A,RPLP0
RPS3A,FCF1
RPS3A,RPL14
RPS3A,RPL27A
RPS3A,RPS6
RPS3A,RPS3
RPS3A,EIF1AX
RPS3A,CSNK1E
BTRC,PSMD7
BTRC,RLIM
BTRC,CUL3
BTRC,UBE2Q1
BTRC,UBE3C
BTRC,RBBP6
BTRC,AMER1
BTRC,ZBTB16
BTRC,UBE3B
BTRC,LRRC41
BTRC,UBE2H
BTRC,CSNK1E
BTRC,UBE4A
SRSF1,HSPA8
SRSF1,SNRPB2
SRSF1,POLDIP3
SRSF1,HNRNPA1
SRSF1,TNPO3
SRSF1,PTBP1
SRSF1,HNRNPM
SRSF1,EFTUD2
SRSF1,HNRNPA2B1
SRSF1,PLRG1
SRSF1,SRPK1
SRSF1,NUP50
SRSF1,SF3B3
SRSF1,CPSF7
SRSF1,HNRNPK
TGOLN2,HSPA8
TGOLN2,AP2M1
TGOLN2,NAPG
TGOLN2,OCRL
KIF5B,KIF23
KIF5B,ARCN1
KIF5B,KLC2
KIF5B,KIF3B
KIF5B,RAB1B
ACOX1,NRIP1
ACOX1,ECHS1
NOTCH2,AGO2
NOTCH2,TNRC6B
NOTCH2,ATP2A2
NOTCH2,AGO4
TPD52,HSPA8
CDK4,CCNT2
CDK4,CCNT1
CDK4,HIST2H3A
CDK4,SMAD3
CDK4,HIST2H2BE
CDK4,AGO4
CDK4,CCND2
CDK4,SUPT3H
CDK4,CCNE1
PAFAH1B2,PAFAH1B1
KPNA1,YWHAH
KPNA1,NUP50
TERF2,HIST2H2BE
ZNRF1,UBE2Q1
ZNRF1,UBE4A
ZNRF1,UBE2H
ZNRF1,LRRC41
AGO2,TNRC6B
AGO2,HIST2H3A
AGO2,HIST2H2BE
AGO2,AGO4
AGO2,DICER1
AGO2,NUP50
AP2M1,MAPK1
AP2M1,HSPA8
AP2M1,RPS6KA3
AP2M1,OCRL
RPS3,RPS5
RPS3,RPL36
RPS3,EIF5B
RPS3,DHX37
RPS3,MRPS11
RPS3,RPLP0
RPS3,FCF1
RPS3,RPL14
RPS3,RPL27A
RPS3,CSNK1E
RPS3,EIF1AX
RPS3,RPS6
RPS3,EFTUD2
RPS3,SRPRB
SSU72,PPP1CC
SSU72,PPP1CB
POLDIP3,RPS6KB1
POLDIP3,CPSF7
POLDIP3,NUP50
CCNE1,PSMD7
CCNE1,CCND2
CCNE1,ORC4
CCNE1,TCP1
SUPT16H,CCNT2
SUPT16H,CCNT1
RAB1B,GOSR1
RAB1B,STX17
RAB1B,ARCN1
RAB1B,KLC2
RAB1B,TBC1D20
RAB1B,KIF3B
MAP2K4,CRK
MAP2K4,PRKCD
RPLP0,RPS5
RPLP0,RPL36
RPLP0,EIF5B
RPLP0,MRPS11
RPLP0,RPL27A
RPLP0,SRPRB
RPLP0,EFTUD2
RPLP0,RPS6
RPLP0,EIF1AX
RPLP0,RPL14
YWHAH,MAPK1
YWHAH,CSNK1E
YWHAH,SIK1
CRK,RPS6KB1
CRK,INSR
CRK,PRKCD
CRK,ABL2
CRK,NCKAP1
SUPT3H,TADA2B
SUPT3H,HIST2H3A
KIF23,KIF3B
KIF23,ARCN1
KIF23,KLC2
HSPA1B,HSP90AB1
HSPA1B,DNAJA1
PAFAH1B1,HAUS3
PAFAH1B1,TAOK1
