source,target
RBM5,DDX5
RBM5,HSPA8
RBM5,SUGP1
RBM5,HNRNPU
RBM5,SF3B3
RBM5,HNRNPR
RBM5,SRSF2
RBM5,TRA2B
RBM5,PCBP2
RBM5,PTBP1
RBM5,PLRG1
RBM5,PRPF4
KMT2A,KANSL1
KMT2A,LAS1L
KMT2A,HIST2H3A
ITGA2,ITGB8
ITGA2,LAMC1
QSOX1,THBS1
QSOX1,VEGFA
DDX5,HSPA8
DDX5,PCBP2
DDX5,PTBP1
DDX5,HNRNPR
DDX5,SRSF2
DDX5,PLRG1
DDX5,PRPF4
DDX5,SF3B3
DDX5,TRA2B
DDX5,SUGP1
DDX5,HNRNPU
UQCRFS1,COX6B1
UQCRFS1,SDHA
UQCRFS1,CYCS
KLHL20,RPS27A
KLHL20,UBE2C
KLHL20,HUWE1
KLHL20,UBE3C
KLHL20,FBXO21
KLHL20,RNF19B
KLHL20,UBE4A
KLHL20,ASB16
KLHL20,ITCH
KLHL20,TRIM11
KLHL20,ASB1
KLHL20,UBOX5
KLHL20,RLIM
KLHL20,UBC
ASB16,UBOX5
ASB16,RLIM
ASB16,HUWE1
ASB16,ASB1
ASB16,RPS27A
ASB16,RNF19B
ASB16,UBE3C
ASB16,UBE4A
ASB16,ITCH
ASB16,UBC
HIST1H4C,KAT2B
HIST1H4C,HIST1H2BJ
HIST1H4C,HIST2H3A
PPP1R3B,PPP1CA
TGOLN2,M6PR
TGOLN2,WASL
TGOLN2,HSPA8
TGOLN2,GAK
TGOLN2,RAB5B
TGOLN2,OCRL
TGOLN2,GOLGA1
TGOLN2,VTI1A
TGOLN2,AP1G1
TGOLN2,VPS53
TGOLN2,LDLR
TGOLN2,FCHO2
OFD1,CEP72
OFD1,CEP57
OFD1,CETN2
OFD1,CCP110
OFD1,PAFAH1B1
OFD1,SEPT2
ACOX1,CPT1A
ACOX1,ACSL4
FOXK2,RPS27A
FOXK2,HIST3H2A
FOXK2,UBC
CRY2,RPS27A
CRY2,CLOCK
CRY2,NPAS2
CRY2,UBC
RRAGD,TSC2
RRAGD,LAMTOR1
RRN3,ERCC2
RRN3,GTF2H3
GABBR1,GNB5
GABBR1,S1PR1
GABBR1,LPAR2
NOTCH2,TNRC6B
NOTCH2,UBC
NOTCH2,TNRC6A
NOTCH2,KAT2B
NOTCH2,CREB1
NOTCH2,POFUT1
NOTCH2,RPS27A
SEC23A,CANX
SEC23A,TRAPPC10
SEC23A,TMED10
SEC23A,GOLGA2
SEC23A,TRAPPC2
SEC23A,SEC16A
DYRK2,RPS27A
DYRK2,UBC
HIST3H2A,HDAC10
HIST3H2A,KAT2B
HIST3H2A,ARID4B
HIST3H2A,RPS27A
HIST3H2A,HIST1H2BD
HIST3H2A,TADA2B
HIST3H2A,REST
HIST3H2A,FOXK1
HIST3H2A,MORF4L1
HIST3H2A,HIST1H2BJ
HIST3H2A,UBC
HIST3H2A,CHD4
HIST3H2A,MORF4L2
HIST3H2A,HIST2H3A
HIST3H2A,RBBP7
HIST3H2A,TBL1XR1
TAX1BP1,XIAP
RPL17,SPCS1
RPL17,EIF2S1
RPL17,EIF4H
RPL17,RPS27A
RPL17,RPS15A
RPL17,EIF4A2
RPL17,RPL14
RPL17,RPL21
RPL17,RPSA
RPL17,ETF1
RPL17,LAS1L
RPL17,MRPS6
HNRNPU,HSPA8
HNRNPU,SRSF2
HNRNPU,HNRNPR
HNRNPU,PCBP2
HNRNPU,PTBP1
HNRNPU,CSDE1
HNRNPU,PLRG1
HNRNPU,SF3B3
HNRNPU,TRA2B
HNRNPU,PRPF4
BCL2L11,MAPK1
BCL2L11,BCL2L2
BCL2L11,MCL1
RPA2,APEX1
RPA2,REV1
RPA2,RPS27A
RPA2,HIST1H2BD
RPA2,YWHAZ
RPA2,HIST1H2BJ
RPA2,UBC
RPA2,PRIM1
RPA2,CETN2
RPA2,FAAP24
RPA2,ERCC2
RPA2,GTF2H3
HAUS8,CCP110
HAUS8,CETN2
GBF1,KIF23
GBF1,ARCN1
GBF1,TMED10
GBF1,SURF4
PRIM1,RB1
PRIM1,NME6
RRAS2,PIK3CA
WASL,M6PR
WASL,OCRL
WASL,DNMBP
WASL,LDLR
WASL,HIP1
WASL,FCHO2
WASL,CAV1
WASL,RAB5B
WASL,HSPA8
WASL,ARPC2
WASL,FNBP1L
WASL,PDGFB
WASL,UBC
WASL,GAK
PDPK1,TSC2
PDPK1,PIK3CA
PDPK1,YES1
PDPK1,JAK1
CANX,B2M
EIF2B2,EIF2S1
RORA,CLOCK
RORA,NPAS2
RORA,CPT1A
FBXO21,UBOX5
FBXO21,UBE3C
FBXO21,FBXO31
FBXO21,UBE4A
ARID4B,HIST2H3A
ARID4B,HIST1H2BJ
ARID4B,HIST1H2BD
ARID4B,RBBP7
SMAD4,HSPA8
SMAD4,KAT2B
SMAD4,RPS27A
SMAD4,RUNX1
SMAD4,STK11
SMAD4,SMAD3
SMAD4,RBBP7
SMAD4,SKI
SMAD4,RBL1
SMAD4,MYC
SMAD4,UBC
SMAD4,BMPR2
SPOPL,RPS27A
SPOPL,UBC
PRKD1,CREB1
EHMT2,RPS27A
EHMT2,HIST1H2BD
EHMT2,HIST1H2BJ
EHMT2,UBC
EHMT2,UBE2C
EHMT2,CHD4
EHMT2,HIST2H3A
EHMT2,RBBP7
SOX4,TCF7L2
HIST2H2AA3,HIST1H2BD
HIST2H2AA3,HIST1H2BJ
MOB1B,SGMS1
B2M,PIK3CA
B2M,GBP3
NME6,CMPK1
NME6,AK1
NME6,POLR3F
GPI,GAPDH
GPI,PGAM1
GPI,PFKP
USP28,MYC
CRK,PIK3CA
CRK,YES1
CRK,PDGFB
TCF7L2,HIST1H2BD
TCF7L2,MYC
TCF7L2,HIST2H3A
TCF7L2,TBL1XR1
RPSA,SPCS1
