source,target
HNRNPA1,POLR2C
HNRNPA1,PRPF19
HNRNPA1,CPSF3
HNRNPA1,CPSF4
HNRNPA1,SF3B3
HNRNPA1,HNRNPM
HNRNPA1,SRSF7
HNRNPA1,PTBP1
HNRNPA1,RBM5
HNRNPA1,PRPF40A
C1D,RRP36
C1D,UTP6
C1D,WDR75
C1D,UTP11
C1D,EXOSC10
RAB14,RAB10
RAB14,YWHAZ
RAB14,TBC1D4
HECTD1,STUB1
HECTD1,BTBD1
HECTD1,ANAPC5
HECTD1,TRIP12
HECTD1,UBE3C
HECTD1,SOCS3
HECTD1,UBE2H
HECTD1,LTN1
HECTD1,NEDD4L
GOLGA1,NAPG
GOLGA1,STX16
MYO10,ARPC5
MYO10,NCKAP1
PTBP1,POLR2C
PTBP1,PRPF19
PTBP1,CPSF3
PTBP1,CPSF4
PTBP1,SF3B3
PTBP1,HNRNPM
PTBP1,SRSF7
PTBP1,RBM5
PTBP1,PRPF40A
SF3B3,POLR2C
SF3B3,PRPF19
SF3B3,CPSF3
SF3B3,CPSF4
SF3B3,SRSF7
SF3B3,HNRNPM
SF3B3,RBM5
SF3B3,PRPF40A
DDX10,WDR12
DDX10,DHX8
DDX10,NIFK
DDX10,PES1
REV3L,RPA1
REV3L,PCNA
REV3L,RPA2
TNRC6A,AGO2
TNRC6A,NOTCH1
TNRC6A,PABPC1
TNRC6A,TFDP1
PPP2R1B,MAPK1
PPP2R1B,PSMD7
PPP2R1B,TAOK1
PPP2R1B,NDEL1
PPP2R1B,PPP2R2A
PPP2R1B,PPP1CC
PPP2R1B,PSME4
PPP2R1B,CTNNB1
PPP2R1B,XPO1
PPP2R1B,PTPA
PRPF19,POLR2C
PRPF19,PCNA
PRPF19,RPA1
PRPF19,ASCC3
PRPF19,SRSF7
PRPF19,HNRNPM
PRPF19,GTF2H1
PRPF19,DHX8
PRPF19,EEF2
PRPF19,RBM5
PRPF19,LIG3
PRPF19,RPA2
PRPF19,PRPF40A
PRPF19,CPSF4
PRPF19,CPSF3
LDLR,SH3GL1
LDLR,PICALM
LIG3,POLR2C
LIG3,RPA1
LIG3,GTF2H1
LIG3,MRE11
LIG3,RPA2
LIG3,PCNA
MIA3,SEC23A
PPP1CC,PPP3R1
PPP1CC,CPSF3
PPP1CC,PER2
PPP1CC,PPP1R12A
PPP1CC,TAOK1
PPP1CC,CPSF4
PPP1CC,PPP2R2A
PPP1CC,NDEL1
PPP1CC,PPP3CB
PPP1CC,XPO1
MAPK1,SMAD1
MAPK1,PLA2G4A
MAPK1,MAPK8
MAPK1,MET
MAPK1,JAK1
MAPK1,PRKAR1A
MAPK1,NCKAP1
MAPK1,IGF1R
MAPK1,YWHAZ
UBE2H,STUB1
UBE2H,BTBD1
UBE2H,ANAPC5
UBE2H,TRIP12
UBE2H,UBE3C
UBE2H,SOCS1
UBE2H,ZNRF1
UBE2H,NEDD4L
UBE2H,LTN1
LTN1,STUB1
LTN1,BTBD1
LTN1,ANAPC5
LTN1,TRIP12
LTN1,UBE3C
LTN1,NEDD4L
SOCS3,STUB1
SOCS3,BTBD1
SOCS3,UBE3C
SOCS3,SOCS1
SOCS3,ZNRF1
SOCS3,JAK1
CTNND1,IGF1R
CTNND1,CDH2
CTNND1,KIF5B
CTNND1,JUP
CTNND1,MET
CTNND1,CTNNB1
CTNND1,ABL1
CTNND1,GNA13
GNA13,CTNNB1
GNA13,GNG5
SRSF7,POLR2C
SRSF7,CPSF3
SRSF7,CPSF4
SRSF7,HNRNPM
SRSF7,RBM5
SRSF7,PRPF40A
PKM,POLR2C
PKM,TPI1
PKM,AK2
PKM,ENTPD1
PKM,PRIM1
PKM,H6PD
ARPC5,SH3GL1
ARPC5,NCKAP1
ARPC5,PICALM
KBTBD6,BTBD1
MAPK8,RPA1
MAPK8,ATM
MAPK8,BAX
MAPK8,MET
MAPK8,MRE11
MAPK8,JAK1
MAPK8,CTNNB1
MAPK8,MAP2K3
MAPK8,ABL1
ZNRF1,SOCS1
ZNRF1,NEDD4L
MRPS5,MRPL28
MRPS5,POLR2C
MRPS5,EFL1
MRPS5,RPS17
MRPS5,EEF2
RRP36,WDR75
RRP36,UTP11
RRP36,EXOSC10
RRP36,MAK16
RRP36,WDR12
RRP36,PES1
RRP36,UTP6
TMED10,TMED2
TMED10,USE1
TMED10,SEC24B
TMED10,SEC23A
TMED10,TMED7
TMED10,DCTN4
TMED10,KIF5B
NEDD4L,STUB1
NEDD4L,BTBD1
NEDD4L,ANAPC5
NEDD4L,TRIP12
NEDD4L,UBE3C
NEDD4L,SOCS1
NEDD4L,XPO1
ANAPC5,PSMD7
ANAPC5,STUB1
ANAPC5,BTBD1
ANAPC5,TRIP12
ANAPC5,UBE3C
ANAPC5,PSME4
HNRNPM,POLR2C
HNRNPM,CPSF3
HNRNPM,CPSF4
HNRNPM,RBM5
HNRNPM,PRPF40A
AK2,NT5C3A
AK2,NT5E
AK2,ENTPD1
PLIN3,STX16
PRIM1,RPA1
PRIM1,PCNA
PRIM1,ENTPD1
PRIM1,RPA2
EYA2,ATM
ITGA6,ITGB4
ITGA6,THBS1
ITGA6,YWHAZ
ITGA6,MET
FANCL,RPA1
FANCL,RPA2
ATP2A2,NOTCH1
PAK1IP1,NIP7
PAK1IP1,WDR12
PAK1IP1,PES1
STX16,NAPG
YWHAZ,ITGB4
YWHAZ,PPP3R1
YWHAZ,RPA1
YWHAZ,CSNK1G2
YWHAZ,RAB10
YWHAZ,KPNA1
YWHAZ,PPP2R2A
YWHAZ,CSNK1G3
YWHAZ,XPO1
YWHAZ,CTNNB1
YWHAZ,TBC1D4
YWHAZ,RPA2
RBM34,WDR12
RBM34,NIFK
RBM34,PES1
PCNA,POLR2C
PCNA,MLH1
PCNA,RPA1
PCNA,GTF2H1
PCNA,ATM
PCNA,MRE11
PCNA,RPA2
PCNA,TFDP1
WDR74,WDR12
WDR74,NIFK
WDR74,PES1
DHX8,MYBL2
DHX8,ASCC3
DHX8,EEF2
DHX8,EFL1
SNAI1,HDAC1
POLR2C,RPA1
POLR2C,GTF2E2
POLR2C,GTF2H1
POLR2C,INTS11
POLR2C,TAF4B
POLR2C,EED
POLR2C,RPA2
POLR2C,ATM
POLR2C,RPRD1A
POLR2C,PRPF40A
POLR2C,CPSF4
POLR2C,CPSF3
POLR2C,COPS7B
PRKAR1A,CREM
PTPA,PPP2R2A
PTPA,NDEL1
HDAC1,MYBL2
HDAC1,TRIM28
HDAC1,EED
HDAC1,NOTCH1
HDAC1,CBX3
HDAC1,CTNNB1
HDAC1,GATAD2B
HDAC1,ABL1
HDAC1,TFDP1
HDAC1,XPO1
EXOSC10,UTP6
EXOSC10,WDR75
EXOSC10,UTP11
TRIM28,TFDP1
TRIM28,MRE11
TRIM28,ATM
TRIM28,ZNF200
PICALM,SH3GL1
PICALM,AP3S1
PICALM,PPP3CB
PGM1,TPI1
PGM1,H6PD
NIP7,UTP11
NIP7,NIFK
NIP7,WDR12
NIP7,PES1
NIP7,UTP6
NIP7,NOL8
TMED2,TMED7
TMED2,DCTN4
TMED2,KIF5B
TMED2,NOTCH1
TMED2,SEC24B
TMED2,SEC23A
TMED2,USE1
NAPG,USE1
NAPG,MAN1A2
NAPG,STX7
RIF1,MRE11
RIF1,ATM
KIF11,KIF5B
ITGB4,MET
GTF2E2,GTF2H1
GTF2E2,TAF4B
GTF2E2,INTS11
GTF2E2,RPRD1A
SEC23A,SEC24B
CDH2,CTNNB1
CDH2,KIF5B
CDH2,JUP
CDH2,MET
CDH2,ABL1
RAB10,TBC1D4
SOX4,CTNNB1
NDEL1,TAOK1
NDEL1,XPO1
ENTPD1,NT5E
ENTPD1,POLR3E
NIFK,WDR12
NIFK,UTP6
NIFK,MAK16
NIFK,PES1
NIFK,RRP15
NIFK,UTP11
PSME4,PSMD7
PES1,WDR12
PES1,UTP6
PES1,WDR75
PES1,UTP11
PES1,MAK16
KIF5B,CTNNB1
KIF5B,DCTN4
KIF5B,TMED7
H6PD,TPI1
GATAD2B,CBX3
PABPC1,CNOT9
PABPC1,PAIP1
JAK1,SOCS1
TAB3,MAP2K3
BAX,RPA1
NOTCH1,AGO2
NOTCH1,CTNNB1
NOTCH1,TFDP1
USE1,TMED7
INTS11,CPSF4
INTS11,RPRD1A
DERL1,RAD23B
CPSF4,CPSF3
CPSF4,RBM5
CPSF4,PRPF40A
MRE11,MLH1
MRE11,RPA1
MRE11,ATM
MRE11,ABL1
MRE11,RPA2
TMED7,DCTN4
WDR12,WDR75
WDR12,UTP11
WDR12,MAK16
WDR12,UTP6
CNOT9,PAIP1
XPO1,TAOK1
XPO1,CREM
XPO1,CTNNB1
LPCAT1,PLA2G4A
RAD23B,RPA1
RAD23B,GTF2H1
RAD23B,COPS7B
RAD23B,ATM
RAD23B,RPA2
PPP3R1,PPP1R12A
PPP3R1,PPP3CB
PPP3R1,PPP2R2A
EED,TFDP1
MAP2K3,TAOK1
GTF2H1,RPA1
GTF2H1,RPA2
GTF2H1,ATM
GTF2H1,TAF4B
MAK16,UTP11
GNAI2,GNG5
SOCS1,STUB1
SOCS1,BTBD1
SOCS1,UBE3C
CTNNB1,IGF1R
CTNNB1,MET
CTNNB1,ABL1
MYBL2,TFDP1
ABL1,ATM
ABL1,NCKAP1
ABL1,TFDP1
RPA1,MLH1
RPA1,RPA2
RPA1,ATM
UTP11,UTP6
UTP11,WDR75
UTP11,RRP15
RPA2,MLH1
RPA2,ATM
UTP6,WDR75
RBM5,CPSF3
RBM5,PRPF40A
MLH1,ATM
CPSF3,PRPF40A
UBE3C,STUB1
UBE3C,BTBD1
UBE3C,TRIP12
PPP1R12A,PPP2R2A
PPP1R12A,PPP3CB
TRIP12,STUB1
TRIP12,BTBD1
AGO2,TFDP1
ATM,TAOK1
ATM,TFDP1
PPP3CB,PPP2R2A
