source,target
HECTD1,STUB1
HECTD1,WWP1
HECTD1,RNF111
HECTD1,DTX3L
HECTD1,UBE2N
HECTD1,TRAF7
HECTD1,FBXL13
HECTD1,KBTBD7
GTF2A1,ATF2
GTF2A1,TAF1
GTF2A1,SP1
GTF2A1,MEF2C
GTF2A1,HMGB1
GTF2A1,RPRD2
GTF2A1,TAF5
CBX4,RB1
CBX4,BMI1
CBX4,BRCA1
CBX4,HNRNPK
ARHGEF12,ERBB2
AKAP9,CNTRL
AKAP9,SEPT2
AKAP9,CKAP5
EIF5,EIF2S1
EIF5,RPS7
EIF5,EIF1AX
EIF5,EIF4A2
DUSP8,ATF2
BMPR2,SMAD7
BMPR2,ZFYVE16
DNM1L,CASP8
EIF1AX,EIF2S1
EIF1AX,EIF4A2
EIF1AX,RPS7
TNRC6B,AGO2
TNRC6B,SP1
TNRC6B,AGO4
TNRC6B,BMI1
TNRC6B,MYC
KBTBD6,KBTBD7
TLR3,UBE2N
TLR3,MYD88
TLR3,CASP8
BMI1,AGO4
BMI1,HNRNPK
BMI1,MYC
BMI1,BRCA1
NIPBL,STAG2
NIPBL,SMC1A
VEGFA,MMP2
VEGFA,IGF1R
VEGFA,ERBB2
VEGFA,PTK2
VEGFA,FAM3C
SP1,SMAD7
SP1,PPARA
SP1,RB1
SP1,RPRD2
SP1,MAP3K1
SP1,E2F1
SP1,UTRN
SP1,MYC
SP1,TAF5
SP1,AGO4
SLAIN2,CKAP5
PER2,PER3
PER2,CLOCK
PELI1,UBE2N
PELI1,IRAK1
PELI1,MYD88
PPARA,MYC
PPARA,CLOCK
PPARA,RB1
PER3,CLOCK
SERPINB5,ATF2
EIF2S1,MYC
EIF2S1,RPS7
EIF2S1,EIF4A2
CNTRL,CKAP5
CNTRL,SEPT2
PBX1,NCOA3
FANCI,BRCA1
KBTBD7,WWP1
KBTBD7,RNF111
KBTBD7,DTX3L
KBTBD7,FBXL13
PAN3,EIF4A2
ERBB2,STUB1
ERBB2,PTK2
ERBB2,MYC
TAF5,TAF1
TAF5,RPRD2
BNIP2,MEF2A
BNIP2,MEF2C
CENPQ,STAG2
CENPQ,SMC1A
CENPQ,CKAP5
IRAK1,UBE2N
IRAK1,MAP2K3
IRAK1,MYD88
MEF2C,RB1
MEF2C,E2F1
MEF2C,MEF2A
WWP1,STUB1
WWP1,SMAD7
WWP1,TRAF7
WWP1,UBE2N
WWP1,RNF111
WWP1,FBXL13
E2F1,AGO2
E2F1,RB1
E2F1,MYC
E2F1,AGO4
CD47,PTK2
CD47,COL4A1
RECK,MMP2
FMR1,AGO2
MYD88,UBE2N
MYD88,HMGB1
MYD88,MAP3K1
DDX46,PCBP1
DDX46,HNRNPH1
DDX46,HNRNPK
DDX46,SRSF11
BRCA1,STAG2
BRCA1,ATF2
BRCA1,UBE2N
BRCA1,SMC1A
BRCA1,SYNE2
BRCA1,NSD2
MYC,AGO2
MYC,IREB2
MYC,RB1
MYC,NCOA3
MYC,AGO4
CSNK1A1,MAP3K1
DUSP10,ATF2
DMD,TPM1
DMD,PTK2
DMD,UTRN
DMD,SGCB
RPS7,MRPS10
RPS7,EIF4A2
SRSF11,THOC2
SRSF11,HNRNPH1
SRSF11,HNRNPK
RNF111,STUB1
RNF111,SMAD7
RNF111,DTX3L
RNF111,SOCS1
RNF111,FBXL13
RNF111,PARP1
RNF111,TRAF7
RNF111,UBE2N
ZFYVE16,SMAD7
CKAP5,STAG2
CKAP5,SMC1A
CKAP5,SEPT2
CASP8,TNFRSF10B
MAP2K3,MAP3K1
PARP1,UBE2N
PHF20,TAF1
PHF20,KANSL3
TRAF7,STUB1
TRAF7,UBE2N
TRAF7,FBXL13
SOCS1,STUB1
SOCS1,UBE2N
MAP3K1,TNFRSF10B
UTRN,PTK2
SMC1A,STAG2
SMC1A,SYNE2
AGO4,AGO2
AGO4,DICER1
ORC4,RB1
MMP2,ATF2
UBE2N,STUB1
UBE2N,DTX3L
UBE2N,NSD2
ATF2,HMGB1
ATF2,RB1
PTK2,IGF1R
HNRNPK,PCBP1
HNRNPK,HNRNPH1
PCBP1,HNRNPH1
AGO2,DICER1
AGO2,TSNAX
RB1,TAF1
SYNE2,STAG2
