source,target
TARBP2,AGO2
TARBP2,DICER1
TARBP2,AGO4
BTRC,RNF144B
BTRC,PSMD11
BTRC,SMURF2
BTRC,CUL3
BTRC,FBXW11
BTRC,ASB6
BTRC,FBXW7
BTRC,RNF111
BTRC,UBE2Q1
BTRC,PSMC2
BTRC,PSME3
BTRC,PLK1
BTRC,UBE3C
BTRC,PPP2R1B
BTRC,RBBP6
BTRC,AMER1
BTRC,ZBTB16
BTRC,UBE2H
BTRC,TRIM4
BTRC,PSMD12
BTRC,UBE2C
BTRC,CSNK1E
BTRC,PSME4
BTRC,JAK2
BTRC,UBE4A
BTRC,CHUK
SRSF1,HNRNPL
SRSF1,HSPA8
SRSF1,SYF2
SRSF1,SNRPC
SRSF1,SNRPB2
SRSF1,POLDIP3
SRSF1,SNRPA1
SRSF1,CDC5L
SRSF1,HNRNPA1
SRSF1,DHX38
SRSF1,CHERP
SRSF1,WBP11
SRSF1,SF3A3
SRSF1,TNPO3
SRSF1,EFTUD2
SRSF1,HNRNPA2B1
SRSF1,PLRG1
SRSF1,YBX1
SRSF1,SRPK1
SRSF1,NUP50
SRSF1,BCAS2
SRSF1,SF3B3
SRSF1,CPSF7
TGOLN2,HSPA8
TGOLN2,VAMP8
TGOLN2,AP2M1
TGOLN2,GCC1
TGOLN2,NAPG
TGOLN2,IGF2R
TGOLN2,TFRC
TGOLN2,OCRL
TGOLN2,NSF
ACOX1,CPT1A
ACOX1,SP1
RNF111,RNF144B
RNF111,SMAD7
RNF111,SMURF2
RNF111,CUL3
RNF111,FBXW11
RNF111,GTF2H1
RNF111,ASB6
RNF111,FBXW7
RNF111,ZBTB16
RNF111,LMO7
RNF111,TRIM32
RNF111,UBE2C
RNF111,SKI
RNF111,SMAD3
RNF111,UBE2Q1
RNF111,UBE3C
RNF111,RBBP6
RNF111,RAD23B
RNF111,NCOR2
RNF111,UBE4A
RNF111,TRIM4
RNF111,UBE2H
ATG14,ATG9A
ATG14,PRKAB2
COL4A2,COL4A1
KPNA1,YWHAH
KPNA1,KPNA2
KPNA1,NUP50
CANX,SEC24B
CANX,HSPA5
CANX,HSP90B1
RBM28,DKC1
RBM28,PAK1IP1
RBM28,DHX37
RBM28,RSL1D1
RBM28,GTPBP4
RBM28,UTP3
RBM28,GNL3L
RBM28,RRP9
RBM28,WDR43
RBM28,BYSL
RBM28,HEATR1
RBM28,TBL3
RBM28,RRP15
RBM28,DIEXF
SUPT16H,CDK9
SUPT16H,BRCA1
SUPT16H,GTF2H1
SUPT16H,CCNT2
SUPT16H,SUPT5H
SUPT16H,CCNT1
RAB1B,GOSR1
RAB1B,STX17
RAB1B,KIF1B
RAB1B,ARCN1
RAB1B,SEC24B
RAB1B,KIF5B
RAB1B,KLC2
RAB1B,RAB1A
RAB1B,TBC1D20
RAB1B,LMAN2L
RAB1B,TMED7
RAB1B,NSF
RAB1B,KIF3B
LMAN2L,SEC24B
LMAN2L,RAB1A
YWHAH,ITGB4
YWHAH,CSNK1E
YWHAH,MTOR
YWHAH,IGF1R
YWHAH,RAF1
YWHAH,XPO1
YWHAH,SIK1
ADK,PDE4D
ADK,AMPD1
ADK,AK2
ADK,ENTPD1
HSPA1B,DNAJB1
HSPA1B,GRPEL2
HSPA1B,DNAJB4
HSPA1B,DNAJA1
DMD,LAMB1
DMD,LAMC1
DMD,TPM2
DMD,TPM3
DMD,AGRN
TRIM4,RNF144B
TRIM4,SMURF2
TRIM4,CUL3
TRIM4,FBXW11
TRIM4,FBXW7
TRIM4,UBE3C
TRIM4,RBBP6
TRIM4,ZBTB16
TRIM4,UBE2H
TRIM4,TRIM32
TRIM4,UBE2C
TRIM4,UBE4A
PPP2R1B,RAF1
PPP2R1B,PSMD11
PPP2R1B,TAOK1
PPP2R1B,CLASP1
PPP2R1B,AKT3
PPP2R1B,PSMC2
PPP2R1B,PSME3
PPP2R1B,PLK1
PPP2R1B,PSME4
PPP2R1B,CKAP5
PPP2R1B,PAFAH1B1
PPP2R1B,RANGAP1
PPP2R1B,XPO1
PPP2R1B,PSMD12
NOB1,RPS5
NOB1,BYSL
NOB1,RRP9
NOB1,RRP36
NOB1,NOL11
NOB1,UTP3
NOB1,DHX37
NOB1,WDR75
NOB1,RPS2
NOB1,RPSA
NOB1,RPS6
NOB1,RIOK3
NOB1,WDR43
NOB1,DCAF13
NOB1,FCF1
NOB1,CSNK1E
NOB1,RPS3
NOB1,HEATR1
NOB1,TBL3
NOB1,RPS25
NOB1,DIEXF
NOB1,RPS3A
UGT8,CHPT1
UGT8,SMPD4
SMAD7,ACVR2A
SMAD7,USP15
SMAD7,BAMBI
SMAD7,STRAP
SMAD7,SMURF2
SMAD7,SMAD3
SMAD7,SMAD1
SMAD7,XPO1
SMAD7,SP1
MLLT1,ELP3
MLLT1,CDK9
MLLT1,CCNT2
MLLT1,CCNT1
MLLT1,AFF4
MLLT1,SUPT5H
HSPA1A,HSPA8
HSPA1A,DNAJB1
HSPA1A,BAG4
HSPA1A,HSPA9
HSPA1A,HSP90B1
HSPA1A,STIP1
HSPA1A,DNAJA2
HSPA1A,HSPA5
HSPA1A,GRPEL2
HSPA1A,EIF4G1
HSPA1A,HSPD1
HSPA1A,NUP50
HSPA1A,DNAJB4
HSPA1A,DNAJC2
HSPA1A,DNAJA1
FOXK1,HIST1H2AJ
FOXK1,OGT
CUL3,RNF144B
CUL3,PSMD11
CUL3,SMURF2
CUL3,ASB6
CUL3,UBE2Q1
CUL3,PSMD12
CUL3,UBE4A
CUL3,UBE2H
CUL3,ZBTB16
CUL3,FBXW11
CUL3,FBXW7
CUL3,LMO7
CUL3,TRIM32
CUL3,UBE2C
CUL3,COPS5
CUL3,UBE3C
CUL3,RBBP6
CUL3,PSMC2
CUL3,PSME4
CHUK,TNFRSF10A
CHUK,CCND2
CHUK,CCNT1
CHUK,AKT3
CHUK,CCNT2
CHUK,FBXW11
CHUK,GTF2H1
CHUK,CDK2
CHUK,CYLD
CHUK,MTOR
CHUK,CDK9
CHUK,MYC
PDE4D,AK2
PDE4D,ENTPD1
PDE4D,AMPD1
LAMTOR3,RPS6KB1
LAMTOR3,RAF1
LAMTOR3,LAMTOR5
LAMTOR3,LAMTOR1
LAMTOR3,LAMTOR4
LAMTOR3,MTOR
LAMTOR3,LAMTOR2
LAMTOR3,EIF4E
NUP50,AAAS
NUP50,AGO2
NUP50,HSPA8
NUP50,POLDIP3
NUP50,DHX38
NUP50,GEMIN5
NUP50,HSPA9
NUP50,GEMIN4
NUP50,HSPA5
NUP50,ZC3H11A
NUP50,RANGAP1
NUP50,EIF4E
UBE3C,RNF144B
UBE3C,SMURF2
UBE3C,FBXW11
UBE3C,ASB6
UBE3C,FBXW7
UBE3C,UBE2Q1
UBE3C,UBE2C
UBE3C,UBE4A
UBE3C,UBE2H
UBE3C,ZBTB16
UBE3C,RBBP6
TIMM17A,HSPA9
TIMM17A,GRPEL2
TIMM17A,HSPD1
TIMM17A,SLC25A6
FZD6,USP8
FZD6,GNB2
SRP68,RPL36
SRP68,TRAM1
SRP68,SRP19
SRP68,RPL5
SRP68,RPL27A
SRP68,RPS2
SRP68,SRPRB
SRP68,RPSA
SRP68,RPS6
SRP68,SRP72
SRP68,RPL12
SRP68,RPLP0
SRP68,RPL14
SRP68,RPS3
CD2AP,VEGFA
PSMD12,EIF3E
PSMD12,PSMD11
PSMD12,SMURF2
PSMD12,CCNE1
PSMD12,CDK2
PSMD12,PSMC2
PSMD12,PSME3
PSMD12,PLK1
PSMD12,AXIN2
PSMD12,UBE2C
PSMD12,PSME4
DICER1,AGO2
DICER1,STAU1
DICER1,AGO4
CCNT1,TBP
CCNT1,ELP3
CCNT1,CCND2
CCNT1,MMS19
CCNT1,CDK9
CCNT1,GTF2H1
CCNT1,CCNT2
