source,target
GNAI2,MAPK3
RBM5,SRSF6
RBM5,WBP11
RBM5,SRSF7
RBM5,HNRNPH1
RBM5,HNRNPUL1
RBM5,SF3A3
RBM5,PRPF40A
KMT2A,MAX
KMT2A,HIST2H3A
SMARCA2,MYC
SMARCA2,HIST2H3A
SMARCA2,ACTL6A
SMARCA2,EHMT2
HAUS5,SEPT2
HAUS5,HAUS6
TGOLN2,AP4E1
TGOLN2,ARF1
TGOLN2,COG4
TGOLN2,RAB5B
TGOLN2,GOLGA1
TGOLN2,VPS53
ARPC5,SH3GL1
ARPC5,UBA52
ARPC5,RAB5B
ARPC5,MYO10
MED1,NCOR1
MED1,NCOA3
MED1,TBL1XR1
TPD52,ARF1
ZFYVE1,UBA52
CHMP7,VPS36
VPS45,COG4
CANX,SAR1B
SRSF7,SRSF6
SRSF7,RANBP2
SRSF7,SF3A3
SRSF7,HNRNPH1
SRSF7,RBMX
SRSF7,HNRNPUL1
SRSF7,PRPF40A
USP30,VDAC1
EHMT2,CBX3
EHMT2,HIST1H2BJ
EHMT2,RBBP4
EHMT2,HIST2H3A
EHMT2,UBA52
BID,BAK1
SUPT16H,RTF1
SUPT16H,ACTL6A
SUPT16H,HMGB1
ASB7,ASB6
ASB7,HECTD2
ASB7,KLHL3
ASB7,RBBP6
ASB7,FBXL13
ASB7,RNF14
ASB7,UBA52
ASB7,KLHL25
YWHAH,MAPK1
YWHAH,LNPEP
YWHAH,MAPK3
YWHAH,CSNK1G3
YWHAH,PPP2CA
YWHAH,XPO1
CRK,RPS6KB1
CRK,INSR
CBX3,HIST2H3A
CBX3,RBBP4
PFKM,TPI1
PFKM,MYC
KLHL3,ASB6
KLHL3,HECTD2
KLHL3,UBA52
KLHL3,FBXL13
KLHL3,RNF14
PAN3,EIF4B
COPA,GOSR2
COPA,ARF1
COPA,COG4
COPA,ASAP1
COPA,TMED7
COPA,DCTN4
COPA,SURF4
GOSR2,ARF1
GOSR2,SAR1B
GOSR2,TMED7
GOSR2,COG4
GOSR2,SEC16A
GOSR2,DCTN4
PHF12,RBBP4
SYNE1,STAG2
SYNE1,RAD21
SYNE1,HIST1H2BJ
FOXM1,PPP2CA
FOXM1,RBBP4
PPP2R1B,MAPK1
PPP2R1B,STAG2
PPP2R1B,PSMD7
PPP2R1B,MAPK3
PPP2R1B,AKT3
PPP2R1B,PSMA5
PPP2R1B,RANBP2
PPP2R1B,RAD21
PPP2R1B,INSR
PPP2R1B,SKA2
PPP2R1B,UBA52
PPP2R1B,CKAP5
PPP2R1B,PPP2CA
PPP2R1B,XPO1
SAR1B,SEC16A
SRP19,SSR1
SRP19,SRP68
SRP19,UBA52
MFN2,UBA52
MFN2,VDAC1
MAPK1,VCL
MAPK1,MAPK3
MAPK1,MITF
MAPK1,RPS6KB1
MAPK1,ELK4
MAPK1,HMGB1
MAPK1,MYC
MAPK1,PPP2CA
MAPK1,SDC4
MAPK1,RPS6KA1
ACTL6A,COPS2
ACTL6A,RAD23B
ACTL6A,MAX
ACTL6A,MYC
ACTL6A,HIST2H3A
PSMA5,PSMD7
PSMA5,USP14
PSMA5,UBA52
PSMA5,PPP2CA
PSMA5,TNKS
GTPBP2,ACTN2
VPS36,UBA52
TBL1XR1,NCOR1
TBL1XR1,HIST1H2BJ
TBL1XR1,HIST2H3A
HECTD2,ASB6
HECTD2,KLHL25
HECTD2,UBA52
HECTD2,RBBP6
HECTD2,RNF14
SPCS2,SSR1
SPCS2,UBA52
SH3GL1,UBA52
SH3GL1,RAB5B
XPO1,STAG2
XPO1,RANBP2
XPO1,RAD21
XPO1,SKA2
XPO1,NUP43
XPO1,CKAP5
XPO1,PPP2CA
ATF7IP,HIST2H3A
ACTN2,TNS1
ACTN2,VCL
ACTN2,ITGB5
ACTN2,TMOD3
PHC3,TNRC6B
NCOA3,NCOR1
NCOA3,RBBP4
NCOA3,MYC
RAB11FIP2,RAB11A
RAD21,STAG2
RAD21,RANBP2
RAD21,CKAP5
RAD21,PPP2CA
RAD21,NUP43
RAD21,SKA2
RAD21,HIST1H2BJ
RAB5B,UBA52
AKT3,PPP2CA
HNRNPUL1,SRSF6
HNRNPUL1,WBP11
HNRNPUL1,HNRNPH1
HNRNPUL1,RBMX
HNRNPUL1,SF3A3
HNRNPUL1,PRPF40A
PPP2CA,STAG2
PPP2CA,PSMD7
PPP2CA,RPS6KB1
PPP2CA,MAPK3
