miRNA;Target
hsa-miR-30c-1-3p;TLN1
hsa-miR-30c-1-3p;SCD5
hsa-miR-30c-1-3p;ZFAND4
hsa-miR-30c-1-3p;TMEM239
hsa-miR-30c-1-3p;SLC16A4
hsa-miR-30c-1-3p;CBY3
hsa-miR-30c-1-3p;SGTB
hsa-miR-30c-1-3p;WIZ
hsa-miR-30c-1-3p;PAQR5
hsa-miR-30c-1-3p;SLC29A4
hsa-miR-30c-1-3p;KIAA1210
hsa-miR-30c-1-3p;SSR3
hsa-miR-30c-1-3p;PGAM5
hsa-miR-30c-1-3p;INAFM1
hsa-miR-30c-1-3p;ZNF665
hsa-miR-30c-1-3p;ATL3
hsa-miR-30c-1-3p;BCL10
hsa-miR-30c-1-3p;CCNF
hsa-miR-30c-1-3p;CD3D
hsa-miR-30c-1-3p;CHORDC1
hsa-miR-30c-1-3p;EXTL3
hsa-miR-30c-1-3p;FAM208A
hsa-miR-30c-1-3p;FAT3
hsa-miR-30c-1-3p;FOSL2
hsa-miR-30c-1-3p;GCNT4
hsa-miR-30c-1-3p;HECTD3
hsa-miR-30c-1-3p;LRIG2
hsa-miR-30c-1-3p;MOB1B
hsa-miR-30c-1-3p;MYH9
hsa-miR-30c-1-3p;NAV1
hsa-miR-30c-1-3p;NCKIPSD
hsa-miR-30c-1-3p;PPTC7
hsa-miR-30c-1-3p;NUDT19
hsa-miR-30c-1-3p;SCD5
hsa-miR-30c-1-3p;SF3B3
hsa-miR-30c-1-3p;SGTB
hsa-miR-30c-1-3p;SMAD9
hsa-miR-30c-1-3p;SSR1
hsa-miR-30c-1-3p;STRIP2
hsa-miR-30c-1-3p;TBC1D19
hsa-miR-30c-1-3p;TLN1
hsa-miR-30c-1-3p;TMTC1
hsa-miR-30c-1-3p;TTC39B
hsa-miR-30c-1-3p;UBE2D4
hsa-miR-30c-1-3p;UBXN2B
hsa-miR-30c-1-3p;WDR55
hsa-miR-30c-1-3p;WIZ
hsa-miR-30c-1-3p;ZFAND4
hsa-miR-30c-1-3p;CRIPT
hsa-miR-30c-1-3p;CCDC77
hsa-miR-30c-1-3p;SLC35E2
hsa-miR-30c-1-3p;PRRG4
hsa-miR-30c-1-3p;SLC19A3
hsa-miR-30c-1-3p;IRAK3
hsa-miR-30c-1-3p;IGSF6
hsa-miR-30c-1-3p;ATP6V1A
hsa-miR-30c-1-3p;SPATA5
hsa-miR-30c-1-3p;ACAA2
hsa-miR-30c-1-3p;POLR3K
hsa-miR-30c-1-3p;SLC25A34
hsa-miR-30c-1-3p;APOBEC3F
hsa-miR-30c-1-3p;ZNF490
hsa-miR-30c-1-3p;WDR75
hsa-miR-30c-1-3p;ZNF607
hsa-miR-30c-1-3p;ZNF770
hsa-miR-30c-1-3p;TMEM239
hsa-miR-30c-1-3p;FGFR1OP
hsa-miR-30c-1-3p;SLC16A4
hsa-miR-30c-1-3p;PCDHA6
hsa-miR-30c-1-3p;MSRB2
hsa-miR-30c-1-3p;UQCC3
hsa-miR-30c-1-3p;LRRC47
hsa-miR-30c-1-3p;UQCRQ
hsa-miR-30c-1-3p;ARSK
hsa-miR-30c-1-3p;ANGPT4
hsa-miR-30c-1-3p;PAQR5
hsa-miR-30c-1-3p;ZNF284
hsa-miR-30c-1-3p;DSN1
hsa-miR-30c-1-3p;EBNA1BP2
hsa-miR-30c-1-3p;SYNJ2
hsa-miR-30c-1-3p;AGAP9
hsa-miR-30c-1-3p;PGAM5
hsa-miR-30c-1-3p;ZNF623
hsa-miR-30c-1-3p;ZNF623
hsa-miR-30c-1-3p;CHMP1B
hsa-miR-30c-1-3p;LINC00346
hsa-miR-30c-1-3p;CPM
hsa-miR-30c-1-3p;ZNF665
hsa-miR-30c-1-3p;ANKFY1
hsa-miR-30c-1-3p;CAPZB
hsa-miR-30c-1-3p;CSTF1
hsa-miR-30c-1-3p;DSEL
hsa-miR-30c-1-3p;EXTL3
hsa-miR-30c-1-3p;MARCH6
hsa-miR-30c-1-3p;NAV1
hsa-miR-30c-1-3p;NUP43
hsa-miR-30c-1-3p;PRICKLE1
hsa-miR-30c-1-3p;SCD5
hsa-miR-30c-1-3p;SMAD9
hsa-miR-30c-1-3p;STRIP2
hsa-miR-30c-1-3p;TMEM239
hsa-miR-30c-1-3p;TTC39B
hsa-miR-30c-1-3p;CCL22
hsa-miR-30c-1-3p;UBE2D4
hsa-miR-30c-1-3p;DOCK7
hsa-miR-30c-1-3p;SLFN12L
hsa-miR-30c-1-3p;IRAK3
hsa-miR-30c-1-3p;IGSF6
hsa-miR-30c-1-3p;SPATA5
hsa-miR-30c-1-3p;SLC1A2
hsa-miR-30c-1-3p;ACAA2
hsa-miR-30c-1-3p;SNRPD1
hsa-miR-30c-1-3p;ZNF490
hsa-miR-30c-1-3p;RNF152
hsa-miR-30c-1-3p;TLN1
hsa-miR-30c-1-3p;AQP6
hsa-miR-30c-1-3p;UPK3BL
hsa-miR-30c-1-3p;ZFAND4
hsa-miR-30c-1-3p;SLC16A4
hsa-miR-30c-1-3p;AR
hsa-miR-30c-1-3p;UQCC3
hsa-miR-30c-1-3p;UQCRQ
hsa-miR-30c-1-3p;POLR2J3
hsa-miR-30c-1-3p;SGTB
hsa-miR-30c-1-3p;KLLN
hsa-miR-30c-1-3p;SYNJ2
hsa-miR-30c-1-3p;PGAM5
hsa-miR-30c-1-3p;LINC00346
hsa-miR-30c-1-3p;ZNF665
hsa-miR-30c-1-3p;NCKIPSD
hsa-miR-30c-1-3p;EXTL3
hsa-miR-30c-1-3p;STRIP2
hsa-miR-30c-1-3p;TNS4
hsa-miR-30c-1-3p;TLN1
hsa-miR-30c-1-3p;ZFAND4
hsa-miR-30c-1-3p;PGAM5
hsa-miR-30c-1-3p;TIMM50
hsa-miR-30c-1-3p;NUDT19
hsa-miR-30c-1-3p;STRIP2
hsa-miR-30c-1-3p;PRRG4
hsa-miR-30c-1-3p;ACAA2
hsa-miR-30c-1-3p;ARPIN
hsa-miR-30c-1-3p;CEP97
hsa-miR-30c-1-3p;HINT1
hsa-miR-30c-1-3p;NUDT19
hsa-miR-30c-1-3p;SCD5
hsa-miR-30c-1-3p;STRIP2
hsa-miR-30c-1-3p;TLN1
hsa-miR-30c-1-3p;UBE2D4
hsa-miR-30c-1-3p;SLC19A3
hsa-miR-30c-1-3p;IGSF6
hsa-miR-30c-1-3p;SPATA5
hsa-miR-30c-1-3p;ACAA2
hsa-miR-30c-1-3p;PPM1D
hsa-miR-30c-1-3p;ZNF490
hsa-miR-30c-1-3p;KIF1C
hsa-miR-30c-1-3p;PLD6
hsa-miR-30c-1-3p;ZNF324B
hsa-miR-30c-1-3p;UQCC3
hsa-miR-30c-1-3p;SGTB
hsa-miR-30c-1-3p;ARSK
hsa-miR-30c-1-3p;PRRG4
hsa-miR-30c-1-3p;STRIP2
hsa-miR-30c-1-3p;ZNF280C
hsa-miR-30c-1-3p;ZSCAN29
hsa-miR-30c-1-3p;ZNF264
hsa-miR-30c-1-3p;DNAJC10
hsa-miR-30c-1-3p;CDKAL1
hsa-miR-30c-1-3p;ACAA2
hsa-miR-30c-1-3p;ZNF490
hsa-miR-30c-1-3p;AQP6
hsa-miR-30c-1-3p;TTC9C
hsa-miR-30c-1-3p;C11orf98
hsa-miR-30c-1-3p;NHLRC2
hsa-miR-30c-1-3p;SLC16A4
hsa-miR-30c-1-3p;WWTR1
hsa-miR-30c-1-3p;MORN4
hsa-miR-30c-1-3p;PGAM5
hsa-miR-30c-1-3p;CD3D
hsa-miR-30c-1-3p;DSEL
hsa-miR-30c-1-3p;TOR1AIP2
hsa-miR-30c-1-3p;LRIG2
hsa-miR-30c-1-3p;RAP2B
hsa-miR-30c-1-3p;SCD5
hsa-miR-30c-1-3p;TIAL1
hsa-miR-30c-1-3p;NUDT19
hsa-miR-30c-1-3p;NUP155
hsa-miR-30c-1-3p;SSR1
hsa-miR-30c-1-3p;STRIP2
hsa-miR-30c-1-3p;MTL5
hsa-miR-30c-1-3p;PRRG4
hsa-miR-30c-1-3p;DNAH9
hsa-miR-30c-1-3p;IGSF6
hsa-miR-30c-1-3p;ATP6V1A
hsa-miR-30c-1-3p;SPATA5
hsa-miR-30c-1-3p;ACAA2
hsa-miR-30c-1-3p;WHAMM
hsa-miR-30c-1-3p;SLC25A34
hsa-miR-30c-1-3p;ZNF490
hsa-miR-30c-1-3p;BPNT1
hsa-miR-30c-1-3p;TMEM239
hsa-miR-30c-1-3p;PAQR5
hsa-miR-30c-1-3p;OSBPL10
hsa-miR-30c-1-3p;KIAA1210
hsa-miR-30c-1-3p;KLLN
hsa-miR-30c-1-3p;SYNJ2
hsa-miR-30c-1-3p;FBXW8
hsa-miR-30c-1-3p;DNAL1
hsa-miR-30c-1-3p;FRRS1
hsa-miR-30c-1-3p;IGF1
hsa-miR-30c-1-3p;MED28
hsa-miR-30c-1-3p;MTMR10
hsa-miR-30c-1-3p;MYH9
hsa-miR-30c-1-3p;NAV1
hsa-miR-30c-1-3p;PAQR5
hsa-miR-30c-1-3p;RRAD
hsa-miR-30c-1-3p;SGTB
hsa-miR-30c-1-3p;STRIP2
hsa-miR-30c-1-3p;TLN1
hsa-miR-30c-1-3p;ZFAND4
hsa-miR-30c-1-3p;NUDT19
hsa-miR-30c-1-3p;CCL22
hsa-miR-30c-1-3p;UBE2D4
hsa-miR-30c-1-3p;SSR1
hsa-miR-30c-1-3p;MTL5
hsa-miR-30c-1-3p;PRRG4
hsa-miR-30c-1-3p;IGSF6
hsa-miR-30c-1-3p;SPATA5
hsa-miR-30c-1-3p;CDKAL1
hsa-miR-30c-1-3p;SLC25A34
hsa-miR-30c-1-3p;SCD5
hsa-miR-30c-1-3p;PCDHB11
hsa-miR-30c-1-3p;TRAF3IP2
hsa-miR-30c-1-3p;KLHL21
hsa-miR-30c-1-3p;UQCC3
hsa-miR-30c-1-3p;COL4A3BP
hsa-miR-30c-1-3p;UBXN2B
hsa-miR-30c-1-3p;SYNJ2
hsa-miR-30c-1-3p;LINC00346
hsa-miR-30c-1-3p;MYH9
hsa-miR-30c-1-3p;MTL5
hsa-miR-30c-1-3p;IGSF6
hsa-miR-30c-1-3p;ACAA2
hsa-miR-30c-1-3p;EXTL3
hsa-miR-30c-1-3p;MTL5
hsa-miR-30c-1-3p;KIF1C
hsa-miR-30c-1-3p;MYH9
hsa-miR-30c-1-3p;NCKIPSD
hsa-miR-30c-1-3p;PAQR5
hsa-miR-30c-1-3p;NUDT19
hsa-miR-30c-1-3p;TLN1
hsa-miR-30c-1-3p;XIAP
hsa-miR-30c-1-3p;MED28
hsa-miR-30c-1-3p;MTL5
hsa-miR-30c-1-3p;GLP2R
hsa-miR-30c-1-3p;IGSF6
hsa-miR-30c-1-3p;SPATA5
hsa-miR-30c-1-3p;SCD5
hsa-miR-30c-1-3p;XKR4
hsa-miR-30c-1-3p;ZFAND4
hsa-miR-30c-1-3p;TMEM239
hsa-miR-30c-1-3p;ADAMTS4
hsa-miR-30c-1-3p;WIZ
hsa-miR-30c-1-3p;KIAA1210
hsa-miR-30c-1-3p;CLEC17A
hsa-miR-30c-1-3p;TMPRSS11BNL
hsa-miR-30c-1-3p;ZNF701
hsa-miR-30c-1-3p;KIAA1210
hsa-miR-30c-1-3p;KIF1C
hsa-miR-30c-1-3p;OSBPL10
hsa-miR-30c-1-3p;UBE2D4
hsa-miR-30c-1-3p;STRIP2
hsa-miR-30c-1-3p;IGSF6
hsa-miR-30c-1-3p;SLC25A34
hsa-miR-30c-1-3p;TMEM251
hsa-miR-30c-1-3p;ZNF701
hsa-miR-30c-1-3p;STRIP2
hsa-miR-30c-1-3p;NUDT19
hsa-miR-30c-1-3p;LINC00598
hsa-miR-30c-1-3p;PRRG4
hsa-miR-30c-1-3p;ACAA2
hsa-miR-30c-1-3p;AQP6
hsa-miR-30c-1-3p;SLC16A4
hsa-miR-30c-1-3p;SMAD9
hsa-miR-30c-1-3p;KIAA1210
hsa-miR-30c-1-3p;PGAM5
hsa-miR-30c-1-3p;TRAPPC2B
hsa-miR-30c-1-3p;ZNF665
hsa-miR-30c-1-3p;AGAP9
hsa-miR-30c-1-3p;KIAA1210
hsa-miR-30c-1-3p;PGAM5
hsa-miR-30c-1-3p;PRRG4
hsa-miR-30c-1-3p;NUDT19
hsa-miR-30c-1-3p;STRIP2
hsa-miR-30c-1-3p;UBXN2B
hsa-miR-30c-1-3p;RFTN2
hsa-miR-30c-1-3p;AQP6
hsa-miR-30c-1-3p;SLC16A4
hsa-miR-30c-1-3p;MRPS16
hsa-miR-30c-1-3p;UQCC3
hsa-miR-30c-1-3p;RRAD
hsa-miR-30c-1-3p;KIAA1210
hsa-miR-30c-1-3p;ARL5B
hsa-miR-30c-1-3p;BTF3L4
hsa-miR-30c-1-3p;ZBTB37
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;TTLL1
hsa-miR-30c-1-3p;MCM7
hsa-miR-30c-1-3p;TRIB1
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;ARL5B
hsa-miR-30c-1-3p;SF3B3
hsa-miR-30c-1-3p;ESCO2
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;MCM7
hsa-miR-30c-1-3p;PPFIA4
hsa-miR-30c-1-3p;DNAH17
hsa-miR-30c-1-3p;FBXW2
hsa-miR-30c-1-3p;TFIP11
hsa-miR-30c-1-3p;FN3K
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;RBM8A
hsa-miR-30c-1-3p;SUSD1
hsa-miR-30c-1-3p;ARL5B
hsa-miR-30c-1-3p;C19orf47
hsa-miR-30c-1-3p;ETV3
hsa-miR-30c-1-3p;TRAM2
hsa-miR-30c-1-3p;YWHAE
hsa-miR-30c-1-3p;ZNF703
hsa-miR-30c-1-3p;IRAK3
hsa-miR-30c-1-3p;CDCP1
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;EPM2AIP1
hsa-miR-30c-1-3p;ZNF277
hsa-miR-30c-1-3p;SUMF2
hsa-miR-30c-1-3p;DNAH17
hsa-miR-30c-1-3p;C19orf47
hsa-miR-30c-1-3p;ETV3
hsa-miR-30c-1-3p;ZNF703
hsa-miR-30c-1-3p;ESCO2
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;EPM2AIP1
hsa-miR-30c-1-3p;FBXW2
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;BTF3L4
hsa-miR-30c-1-3p;C19orf47
hsa-miR-30c-1-3p;DDX3Y
hsa-miR-30c-1-3p;TJAP1
hsa-miR-30c-1-3p;TRAM2
hsa-miR-30c-1-3p;YWHAE
hsa-miR-30c-1-3p;ZBTB22
hsa-miR-30c-1-3p;LETM1
hsa-miR-30c-1-3p;MCM7
hsa-miR-30c-1-3p;CCNB1IP1
hsa-miR-30c-1-3p;SUMF2
hsa-miR-30c-1-3p;SNTN
hsa-miR-30c-1-3p;SLC25A45
hsa-miR-30c-1-3p;PTP4A1
hsa-miR-30c-1-3p;TRAM2
hsa-miR-30c-1-3p;ZNF703
hsa-miR-30c-1-3p;SPTLC2
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;ZKSCAN8
hsa-miR-30c-1-3p;TRIM4
hsa-miR-30c-1-3p;KHSRP
hsa-miR-30c-1-3p;FAM126A
hsa-miR-30c-1-3p;PTP4A1
hsa-miR-30c-1-3p;IRAK3
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;C11orf98
hsa-miR-30c-1-3p;LY6G5B
hsa-miR-30c-1-3p;KLF8
hsa-miR-30c-1-3p;TMEM33
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;ANTXR2
hsa-miR-30c-1-3p;DYRK2
hsa-miR-30c-1-3p;MBOAT2
hsa-miR-30c-1-3p;MRPL17
hsa-miR-30c-1-3p;RBM8A
hsa-miR-30c-1-3p;SRD5A1
hsa-miR-30c-1-3p;TDGF1P3
hsa-miR-30c-1-3p;COA5
hsa-miR-30c-1-3p;TFAM
hsa-miR-30c-1-3p;BUB1
hsa-miR-30c-1-3p;TMPRSS12
hsa-miR-30c-1-3p;ALG10B
hsa-miR-30c-1-3p;ARL5B
hsa-miR-30c-1-3p;ESCO2
hsa-miR-30c-1-3p;FBXW2
hsa-miR-30c-1-3p;FOPNL
hsa-miR-30c-1-3p;GLUL
hsa-miR-30c-1-3p;GNG4
hsa-miR-30c-1-3p;KHSRP
hsa-miR-30c-1-3p;MAPK1IP1L
hsa-miR-30c-1-3p;MED28
hsa-miR-30c-1-3p;METTL14
hsa-miR-30c-1-3p;NKAP
hsa-miR-30c-1-3p;PRKAR2A
hsa-miR-30c-1-3p;SF3B3
hsa-miR-30c-1-3p;SUGT1
hsa-miR-30c-1-3p;TMEM11
hsa-miR-30c-1-3p;TMEM41B
hsa-miR-30c-1-3p;TRAM2
hsa-miR-30c-1-3p;UBXN2A
hsa-miR-30c-1-3p;XIAP
hsa-miR-30c-1-3p;YWHAE
hsa-miR-30c-1-3p;ZCCHC8
hsa-miR-30c-1-3p;ZFAND4
hsa-miR-30c-1-3p;ZNF70
hsa-miR-30c-1-3p;IRAK3
hsa-miR-30c-1-3p;LSG1
hsa-miR-30c-1-3p;CDC14B
hsa-miR-30c-1-3p;C11orf98
hsa-miR-30c-1-3p;ADAMTS4
hsa-miR-30c-1-3p;RPP30
hsa-miR-30c-1-3p;CCNB1IP1
hsa-miR-30c-1-3p;DUSP28
hsa-miR-30c-1-3p;SUMF2
hsa-miR-30c-1-3p;FTO
hsa-miR-30c-1-3p;SLC25A45
hsa-miR-30c-1-3p;DNAH17
hsa-miR-30c-1-3p;GHITM
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;RBM8A
hsa-miR-30c-1-3p;KHSRP
hsa-miR-30c-1-3p;SF3B3
hsa-miR-30c-1-3p;ZNF703
hsa-miR-30c-1-3p;IRAK3
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;MCM7
hsa-miR-30c-1-3p;METTL14
hsa-miR-30c-1-3p;CCNB1IP1
hsa-miR-30c-1-3p;FTO
hsa-miR-30c-1-3p;TNRC6A
hsa-miR-30c-1-3p;RBM8A
hsa-miR-30c-1-3p;SNTN
hsa-miR-30c-1-3p;SLC25A45
hsa-miR-30c-1-3p;ZBTB22
hsa-miR-30c-1-3p;PSMD11
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;RNASEH2B
hsa-miR-30c-1-3p;PARP15
hsa-miR-30c-1-3p;SNTN
hsa-miR-30c-1-3p;FRK
hsa-miR-30c-1-3p;CHRNB2
hsa-miR-30c-1-3p;BAK1
hsa-miR-30c-1-3p;CEP120
hsa-miR-30c-1-3p;HAUS3
hsa-miR-30c-1-3p;PTPRE
hsa-miR-30c-1-3p;FN3K
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;RBM8A
hsa-miR-30c-1-3p;TTLL1
hsa-miR-30c-1-3p;SSBP3-AS1
hsa-miR-30c-1-3p;MYH11
hsa-miR-30c-1-3p;CTDNEP1
hsa-miR-30c-1-3p;PTP4A1
hsa-miR-30c-1-3p;ATAD5
hsa-miR-30c-1-3p;RNASEH2B
hsa-miR-30c-1-3p;CTNND1
hsa-miR-30c-1-3p;DPM2
hsa-miR-30c-1-3p;EFNA1
hsa-miR-30c-1-3p;FAM210A
hsa-miR-30c-1-3p;GABARAPL1
hsa-miR-30c-1-3p;GIGYF1
hsa-miR-30c-1-3p;GPR157
hsa-miR-30c-1-3p;KLHDC8A
hsa-miR-30c-1-3p;KLK10
hsa-miR-30c-1-3p;KMT2D
hsa-miR-30c-1-3p;MAZ
hsa-miR-30c-1-3p;NCKAP1
hsa-miR-30c-1-3p;NUP43
hsa-miR-30c-1-3p;PCBP1
hsa-miR-30c-1-3p;PHAX
hsa-miR-30c-1-3p;PIM3
hsa-miR-30c-1-3p;PSMD11
hsa-miR-30c-1-3p;TBXA2R
hsa-miR-30c-1-3p;TMEM184C
hsa-miR-30c-1-3p;UBE2B
hsa-miR-30c-1-3p;YWHAE
hsa-miR-30c-1-3p;ZER1
hsa-miR-30c-1-3p;ACADL
hsa-miR-30c-1-3p;ZNF317
hsa-miR-30c-1-3p;TNFRSF10B
hsa-miR-30c-1-3p;CXCL16
hsa-miR-30c-1-3p;CDCP1
hsa-miR-30c-1-3p;KCNK3
hsa-miR-30c-1-3p;FAM83B
hsa-miR-30c-1-3p;MPLKIP
hsa-miR-30c-1-3p;HAVCR2
hsa-miR-30c-1-3p;TNFRSF10D
hsa-miR-30c-1-3p;VPS39
hsa-miR-30c-1-3p;MRPL12
hsa-miR-30c-1-3p;RNASEH2B
hsa-miR-30c-1-3p;SERAC1
hsa-miR-30c-1-3p;GNL1
hsa-miR-30c-1-3p;NRG4
hsa-miR-30c-1-3p;PPARA
hsa-miR-30c-1-3p;CECR1
hsa-miR-30c-1-3p;ZNF557
hsa-miR-30c-1-3p;SUMF2
hsa-miR-30c-1-3p;TANGO2
hsa-miR-30c-1-3p;LAX1
hsa-miR-30c-1-3p;PIN1
hsa-miR-30c-1-3p;ZNF584
hsa-miR-30c-1-3p;EPS15L1
hsa-miR-30c-1-3p;AQR
hsa-miR-30c-1-3p;KLF7
hsa-miR-30c-1-3p;CDH6
hsa-miR-133b;BCL2L2
hsa-miR-133b;PKM
hsa-miR-133b;CASP9
hsa-miR-133b;PITX3
hsa-miR-133b;FSCN1
hsa-miR-133b;PTBP2
hsa-miR-133b;MCL1
hsa-miR-133b;IGF1R
hsa-miR-133b;KCNH2
hsa-miR-133b;FAIM
hsa-miR-133b;EGFR
hsa-miR-133b;FGFR1
hsa-miR-133b;CDK13
hsa-miR-133b;PTPRK
hsa-miR-133b;RB1CC1
hsa-miR-133b;CPNE3
hsa-miR-133b;PRDM16
hsa-miR-133b;KLF15
hsa-miR-133b;MET
hsa-miR-133b;ERG
hsa-miR-133b;HCN2
hsa-miR-133b;HCN4
hsa-miR-133b;STK3
hsa-miR-133b;CDC42
hsa-miR-133b;RHOA
hsa-miR-133b;GLI1
hsa-miR-133b;SP1
hsa-miR-133b;TAGLN2
hsa-miR-133b;AKT1
hsa-miR-133b;FAM160B1
hsa-miR-133b;CXCR4
hsa-miR-133b;MMP9
hsa-miR-133b;CTGF
hsa-miR-133b;FOXL2
hsa-miR-133b;CNN2
hsa-miR-133b;EMID1
hsa-miR-133b;MC2R
hsa-miR-133b;SESN3
hsa-miR-133b;RHOQ
hsa-miR-133b;HIST2H2AC
hsa-miR-133b;DCAKD
hsa-miR-133b;ZBTB37
hsa-miR-133b;RNF103-CHMP3
hsa-miR-133b;MYPN
hsa-miR-133b;CHMP3
hsa-miR-133b;SYAP1
hsa-miR-133b;CDK5R1
hsa-miR-133b;ATP13A3
hsa-miR-133b;ZFP28
hsa-miR-133b;SUPT16H
hsa-miR-133b;PTMA
hsa-miR-133b;C11orf24
hsa-miR-133b;CCDC39
hsa-miR-133b;ITPKB
hsa-miR-133b;CCNI
hsa-miR-133b;TXNRD3NB
hsa-miR-133b;PDE1A
hsa-miR-133b;RBMXL1
hsa-miR-133b;RNF168
hsa-miR-133b;C17orf64
hsa-miR-133b;ZMAT4
hsa-miR-133b;TRIM71
hsa-miR-133b;FOSL2
hsa-miR-133b;SERPINH1
hsa-miR-133b;ANGPT4
hsa-miR-133b;CMTM4
hsa-miR-133b;FAS
hsa-miR-133b;SIRT1
hsa-miR-133b;BCL2L1
hsa-miR-133b;ACPL2
hsa-miR-133b;ADCY6
hsa-miR-133b;ANKRD52
hsa-miR-133b;C10orf46
hsa-miR-133b;C19orf55
hsa-miR-133b;C1orf63
hsa-miR-133b;CBX6
hsa-miR-133b;CKAP4
hsa-miR-133b;CNN2
hsa-miR-133b;CNP
hsa-miR-133b;CNST
hsa-miR-133b;CTDSP2
hsa-miR-133b;CXCL12
hsa-miR-133b;DDIT4
hsa-miR-133b;DDX3X
hsa-miR-133b;DNAJB1
hsa-miR-133b;EEF1A1
hsa-miR-133b;ETF1
hsa-miR-133b;FAM193B
hsa-miR-133b;FBN1
hsa-miR-133b;FGFR1
hsa-miR-133b;GGA2
hsa-miR-133b;GXYLT1
hsa-miR-133b;HYOU1
hsa-miR-133b;IGF2BP2
hsa-miR-133b;IQGAP1
hsa-miR-133b;IRF2
hsa-miR-133b;KCTD7
hsa-miR-133b;KHNYN
hsa-miR-133b;KREMEN1
hsa-miR-133b;LASP1
hsa-miR-133b;LHFPL2
hsa-miR-133b;LPHN1
hsa-miR-133b;LUZP1
hsa-miR-133b;LY6E
hsa-miR-133b;LZTS2
hsa-miR-133b;MAP2K4
hsa-miR-133b;MMP14
hsa-miR-133b;MSN
hsa-miR-133b;MYO9B
hsa-miR-133b;NCOR2
hsa-miR-133b;RBMS1
hsa-miR-133b;SERPINH1
hsa-miR-133b;SGK1
hsa-miR-133b;SH3PXD2B
hsa-miR-133b;SHISA5
hsa-miR-133b;SLC30A7
hsa-miR-133b;SRPK1
hsa-miR-133b;STC1
hsa-miR-133b;TAGLN2
hsa-miR-133b;TGOLN2
hsa-miR-133b;TNRC6B
hsa-miR-133b;TTYH3
hsa-miR-133b;TXNDC5
hsa-miR-133b;WASF2
hsa-miR-133b;WDTC1
hsa-miR-133b;AKR1B1
hsa-miR-133b;AQPEP
hsa-miR-133b;C5orf43
hsa-miR-133b;CAV1
hsa-miR-133b;CD300LB
hsa-miR-133b;CYP27C1
hsa-miR-133b;SMARCC2
hsa-miR-133b;TNFRSF10B
hsa-miR-133b;C6orf204
hsa-miR-133b;CBX6
hsa-miR-133b;DDIT4
hsa-miR-133b;FGFR1
hsa-miR-133b;HYOU1
hsa-miR-133b;KHNYN
hsa-miR-133b;PXDN
hsa-miR-133b;RAB34
hsa-miR-133b;SERPINH1
hsa-miR-133b;SGK1
hsa-miR-133b;SH3PXD2A
hsa-miR-133b;SHISA5
hsa-miR-133b;TXNDC5
hsa-miR-133b;ZNF217
hsa-miR-133b;LY6E
hsa-miR-133b;COL1A1
hsa-miR-133b;EPHB4
hsa-miR-133b;HYOU1
hsa-miR-133b;SGK1
hsa-miR-133b;SH3PXD2B
hsa-miR-133b;ADAMTS15
hsa-miR-133b;LY6E
hsa-miR-133b;QKI
hsa-miR-133b;SERPINH1
hsa-miR-133b;EPHB4
hsa-miR-133b;FGFR1
hsa-miR-133b;HYOU1
hsa-miR-133b;KHNYN
hsa-miR-133b;SH3PXD2B
hsa-miR-133b;SHISA5
hsa-miR-133b;SLC30A3
hsa-miR-133b;SORBS3
hsa-miR-133b;ZNF580
hsa-miR-133b;CAV1
hsa-miR-133b;CNST
hsa-miR-133b;KCTD7
hsa-miR-133b;OTUD4
hsa-miR-133b;PPIL2
hsa-miR-133b;SLBP
hsa-miR-133b;TRIT1
hsa-miR-133b;ATG7
hsa-miR-133b;BACE1
hsa-miR-133b;CAST
hsa-miR-133b;DHX32
hsa-miR-133b;KDELR3
hsa-miR-133b;NR2C2
hsa-miR-133b;TRIM13
hsa-miR-133b;C14orf153
hsa-miR-133b;C3orf36
hsa-miR-133b;CES3
hsa-miR-133b;RORB
hsa-miR-133b;TOR1AIP2
hsa-miR-133b;ZNF562
hsa-miR-133b;ATG7
hsa-miR-133b;CAST
hsa-miR-133b;DHX32
hsa-miR-133b;KDELR3
hsa-miR-133b;ZNF710
hsa-miR-133b;C14orf153
hsa-miR-133b;CES3
hsa-miR-133b;PPIL2
hsa-miR-133b;RORB
hsa-miR-133b;S1PR5
hsa-miR-133b;ATG7
hsa-miR-133b;DHX32
hsa-miR-133b;NR2C2
hsa-miR-133b;ARHGAP29
hsa-miR-133b;C3orf36
hsa-miR-133b;FAM192A
hsa-miR-133b;RORB
hsa-miR-133b;ATG7
hsa-miR-133b;DHX32
